"","Time","cuvette.BLANK..2","cuvette.YBR4.1..3","cuvette.YBR4.1..4","cuvette.YBR4.1..5","cuvette.YBR4.2..6","cuvette.YBR4.2..7","cuvette.YBR4.2..8","cuvette.YBR4.3..9","cuvette.YBR4.3..10","cuvette.YBR4.3..11","cuvette.MEDIA..12","cuvette.MEDIA..13","cuvette.BLANK..14","cuvette.YBR6.1..15","cuvette.YBR6.1..16","cuvette.YBR6.1..17","cuvette.YBR6.2..18","cuvette.YBR6.2..19","cuvette.YBR6.2..20","cuvette.YBR6.3..21","cuvette.YBR6.3..22","cuvette.YBR6.3..23","cuvette.MEDIA..24","cuvette.MEDIA..25","cuvette.BLANK..26","cuvette.REF4.1..27","cuvette.REF4.1..28","cuvette.REF4.1..29","cuvette.REF4.2..30","cuvette.REF4.2..31","cuvette.REF4.2..32","cuvette.REF4.3..33","cuvette.REF4.3..34","cuvette.REF4.3..35","cuvette.MEDIA..36","cuvette.MEDIA..37","cuvette.BLANK..38","cuvette.REF3.1..39","cuvette.REF3.1..40","cuvette.REF3.1..41","cuvette.REF3.2..42","cuvette.REF3.2..43","cuvette.REF3.2..44","cuvette.REF3.3..45","cuvette.REF3.3..46","cuvette.REF3.3..47","cuvette.MEDIA..48","cuvette.MEDIA..49","cuvette.BLANK..50","cuvette.YBR4.1..51","cuvette.YBR4.1..52","cuvette.YBR4.1..53","cuvette.YBR4.2..54","cuvette.YBR4.2..55","cuvette.YBR4.2..56","cuvette.YBR4.3..57","cuvette.YBR4.3..58","cuvette.YBR4.3..59","cuvette.MEDIA..60","cuvette.MEDIA..61","cuvette.BLANK..62","cuvette.YBR6.1..63","cuvette.YBR6.1..64","cuvette.YBR6.1..65","cuvette.YBR6.2..66","cuvette.YBR6.2..67","cuvette.YBR6.2..68","cuvette.YBR6.3..69","cuvette.YBR6.3..70","cuvette.YBR6.3..71","cuvette.MEDIA..72","cuvette.MEDIA..73","cuvette.BLANK..74","cuvette.REF4.1..75","cuvette.REF4.1..76","cuvette.REF4.1..77","cuvette.REF4.2..78","cuvette.REF4.2..79","cuvette.REF4.2..80","cuvette.REF4.3..81","cuvette.REF4.3..82","cuvette.REF4.3..83","cuvette.MEDIA..84","cuvette.MEDIA..85","cuvette.BLANK..86","cuvette.REF3.1..87","cuvette.REF3.1..88","cuvette.REF3.1..89","cuvette.REF3.2..90","cuvette.REF3.2..91","cuvette.REF3.2..92","cuvette.REF3.3..93","cuvette.REF3.3..94","cuvette.REF3.3..95","cuvette.MEDIA..96","cuvette.MEDIA..97"
"1",0,0.006,0.156719701664935,0.189902385519348,0.185122466215747,0.188195618998169,0.16323162689807,0.143676999153197,0.124752953035137,0.168025977108142,0.142989828923959,-0.0056402097354081,-0.0074063988659736,0.000359850767155199,0.171106336594349,0.131640953469615,0.173501250939353,0.156033875396198,0.144707619189189,0.146424959776723,0.137145944389633,0.180681233062963,0.142989828923959,-0.0006984265927467,-0.0063466050694875,-0.0024627513088512,0.240938686080783,0.176237319031272,0.127509063842244,0.2643184546875,0.173159169344378,0.184439372291888,0.152603701640642,0.14882848595496,0.151231142658862,-0.0021098333596071,-0.0120016356353163,-0.0038746887427776,0.180681233062963,0.163916735514038,0.2575473389121,0.163574189643343,0.2100139993227,0.194338192692019,0.173501250939353,0.164944272080926,0.163574189643343,0.0031807644178944,-0.0120016356353163,0.0007125570968625,0.215119118224913,0.212056424397677,0.205586994900253,0.436963595973371,0.215119118224913,0.2032022190609,0.190243692791558,0.166998892331827,0.19536147758503,0.0052953478570296,0.006,0.0063522869743713,0.21409834539233,0.2134177608,0.238902994654688,0.19570254253561,0.3217134452544,0.190243692791558,0.477564010084915,0.172817071441203,0.206268229643331,0.0084654627353559,-0.0017569419336024,0.0070567828300251,0.191608769114573,0.2202211275864,0.2134177608,0.200816731342001,0.135770142266942,0.174527398077353,0.256192578933449,0.189219725003586,0.249754962019126,0.0014178906922539,0.0007125570968625,0.0144477419008512,0.263980003671804,0.25111059784653,0.239581607864563,0.234830267775911,0.284268486553398,0.220901164226162,0.258901918223455,0.303510154165985,0.368141793584686,-0.0059933940295752,0.202179954754852
"2",15,0.006,0.168368305450042,0.210694863959654,0.192632416519095,0.205586994900253,0.181364673084401,0.161861206766634,0.143676999153197,0.2134177608,0.1553479798491,-0.0010512385704,0.0165573649251,-0.0003456410574216,0.211375672264039,0.168710617200552,0.181022960995163,0.160490515023713,0.171790679680198,0.16323162689807,0.150887958957037,0.187854219520313,0.167341270569263,-0.0017569419336024,0.0021231190037997,-0.0021098333596071,0.237545619222294,0.187854219520313,0.146768374155413,0.2643184546875,0.186488467022559,0.204905702610938,0.155005006045596,0.187512804604051,0.155005006045596,-0.0045808171251,-0.0098801909347125,-0.0028156958015625,0.189902385519348,0.16323162689807,0.282579172793683,0.195020397641057,0.227358846647907,0.218520799089638,0.195020397641057,0.181706369350906,0.175211414999194,0.0035332604226441,-0.0105872310794799,0.0010652370651528,0.221581146960691,0.2304160907625,0.2236207733511,0.485619217627546,0.226339530348934,0.23109533581511,0.2100139993227,0.190926261465775,0.212056424397677,0.0123371982654216,0.006,0.0074089917517632,0.233472289172763,0.235169730758707,0.250093888560826,0.221241162321467,0.354695781369022,0.197748618510583,0.521552919919387,0.18307299659415,0.226679315574285,0.0077611746964125,0.0017705179983936,0.0070567828300251,0.216139766675866,0.250432803365808,0.233132762752846,0.2202211275864,0.147798510177946,0.193655927526674,0.289672674501563,0.2168201301453,0.276495597580673,0.0024756937287,0.0021231190037997,0.157405458817133,0.289334983889971,0.2778477834807,0.261949067814719,0.253482511795942,0.317670258602746,0.255515130789331,0.283930643269786,0.339221975354822,0.404076804203513,-0.0038746887427776,0.218860891943885
"3",30,0.006,0.184097801879047,0.218860891943885,0.201839170835465,0.21409834539233,0.211035275143304,0.193314772312317,0.159119550374727,0.200816731342001,0.190926261465775,-0.0010512385704,0.0418026239345304,-0.0010512385704,0.225320095675988,0.1724749572096,0.198430524805421,0.170421927790231,0.198089579073788,0.196725647629266,0.175211414999194,0.215119118224913,0.190584984766958,-0.0017569419336024,0.0098737279782003,-0.0024627513088512,0.284268486553398,0.201498372307013,0.147111770668361,0.3014860871928,0.1997941598208,0.21716029129134,0.184780927064045,0.178972355049579,0.167683632154625,-0.0070531074674589,0.0557735362468344,-0.0035216644982979,0.196725647629266,0.190243692791558,0.294061807139254,0.194679302683463,0.240260171619321,0.2236207733511,0.19706665280855,0.191608769114573,0.202520724085402,0.0028282421933223,-0.0095267113248192,0.0010652370651528,0.253821310346277,0.246365046632545,0.239920895913718,0.5299553012232,0.244669641732614,0.245008746752414,0.2202211275864,0.2032022190609,0.220901164226162,0.0074089917517632,0.0070567828300251,0.0063522869743713,0.249754962019126,0.248738111771443,0.274128880357311,0.239920895913718,0.379229087470812,0.218520799089638,0.555856011977557,0.1997941598208,0.247721155165101,0.0081133316842008,0.0017705179983936,0.0088175678701056,0.234830267775911,0.266010546863288,0.252466046857387,0.255853860557813,0.155005006045596,0.204905702610938,0.31430009184907,0.229057445576297,0.275481351557483,0.0038857302277992,0.0028282421933223,0.119926802203228,0.3183441990123,0.297774484684194,0.285957557970367,0.287308642316302,0.334509960190726,0.271761658407302,0.306208432604791,0.363772719632213,0.446358089467992,-0.0045808171251,0.187854219520313
"4",45,0.006,0.206268229643331,0.255515130789331,0.218180692617487,0.220901164226162,0.21716029129134,0.205586994900253,0.216139766675866,0.215459348168441,0.216139766675866,-0.0035216644982979,0.0742280700430875,0.0010652370651528,0.19706665280855,0.175211414999194,0.2405994350016,0.1929736019832,0.201498372307013,0.198430524805421,0.194679302683463,0.206949407001993,0.204905702610938,-0.0014040770106093,0.0162058248336357,-0.0010512385704,0.3149741877,0.210354438692862,0.16117589492752,0.318007232642988,0.19740764309558,0.203542944746304,0.221241162321467,0.204905702610938,0.1827313634163,-0.0052870521667584,-0.0084664341023673,-0.0014040770106093,0.224300542082918,0.196725647629266,0.300811329120766,0.205927619454958,0.26499532407767,0.222261075951809,0.2202211275864,0.204224352613562,0.21409834539233,0.0031807644178944,-0.0077597170911447,0.0024756937287,0.262287584578099,0.253482511795942,0.248738111771443,0.56595736317364,0.26330306889805,0.252466046857387,0.234830267775911,0.215459348168441,0.234490792146146,0.0088175678701056,0.0067045479109704,0.0070567828300251,0.272776244348438,0.256192578933449,0.293724236760739,0.261610540022594,0.413810247052279,0.221921118164063,0.593602658135466,0.208311590213363,0.268040701758375,0.0074089917517632,0.0035332604226441,0.0074089917517632,0.238563669453511,0.27750975217332,0.274805136477573,0.263980003671804,0.169395191008314,0.21716029129134,0.328112977791855,0.248738111771443,0.311940506665632,0.0035332604226441,0.0035332604226441,0.0901947524935473,0.325755559332998,0.312614713732634,0.304184774615482,0.283930643269786,0.355032032872647,0.286295343395138,0.325755559332998,0.3822521103,0.467832097191788,-0.0038746887427776,0.198430524805421
"5",60,0.006,0.249077073644662,0.279875760394157,0.2439913954917,0.278523815881574,0.24806015255189,0.224980257718615,0.227698592536634,0.260594890271475,0.219200971200457,0.0070567828300251,0.119926802203228,0.0007125570968625,0.204565034835871,0.196725647629266,0.255515130789331,0.220901164226162,0.216139766675866,0.221921118164063,0.199112371854886,0.226679315574285,0.2032022190609,0.0017705179983936,0.0232318140010737,-0.0010512385704,0.288321855632529,0.218860891943885,0.1793141625,0.382587982418661,0.2541600973824,0.28190337886745,0.224300542082918,0.198089579073788,0.200135031697995,-0.0031686668579688,-0.0066998428753728,-0.0014040770106093,0.253482511795942,0.219541036879582,0.322724072962397,0.215459348168441,0.280889614162749,0.232793223584821,0.233472289172763,0.224300542082918,0.236866856676132,0.0035332604226441,-0.0074063988659736,0.0028282421933223,0.26499532407767,0.285957557970367,0.266010546863288,0.615558659392519,0.280213721580055,0.278523815881574,0.252127202047927,0.2338118028648,0.256531285936468,0.0109296555668472,0.0088175678701056,0.0081133316842008,0.2879841273384,0.28494414405972,0.307220148211183,0.273452583034873,0.436963595973371,0.243313100847514,0.649084251873734,0.230076448881414,0.274128880357311,0.0077611746964125,0.006,0.0081133316842008,0.268379023463306,0.302160810616466,0.289334983889971,0.279875760394157,0.1827313634163,0.232793223584821,0.353686993980638,0.273790736856478,0.338212365254502,0.0045905913202368,0.0137443298616024,0.0263902282250856,0.342250462425153,0.335519786050755,0.327102698384333,0.314637143711139,0.372510080506254,0.31564825213901,0.3620920876032,0.415488251088309,0.527266208025158,-0.0024627513088512,0.209333078191354
"6",75,0.006,0.267364026334353,0.282241280738105,0.2677023693888,0.3048593610639,0.257208665905566,0.241277924877098,0.248738111771443,0.242973935323624,0.229057445576297,0.0042381738535875,0.153975980272529,0.0028282421933223,0.2270190876672,0.219200971200457,0.283592790272236,0.234490792146146,0.238224331827872,0.242295567771113,0.204905702610938,0.242973935323624,0.212056424397677,7.11805580310032e-06,0.0288453783182625,0.000359850767155199,0.327102698384333,0.24365225423013,0.195020397641057,0.391655164330138,0.274805136477573,0.296424545922713,0.267025672574806,0.2168201301453,0.204565034835871,-0.0024627513088512,0.0491420577999171,-0.0003456410574216,0.299461708384303,0.2405994350016,0.345614858319222,0.242634757638233,0.292711470780295,0.252466046857387,0.266348932859501,0.255176389607777,0.2541600973824,0.0042381738535875,-0.0070531074674589,0.0031807644178944,0.293386657254893,0.296762044010777,0.280889614162749,0.6514590567,0.29709953315356,0.295749522829829,0.271761658407302,0.252466046857387,0.273452583034873,0.0119853511821969,0.0102257296496064,0.0088175678701056,0.297774484684194,0.300136536238541,0.322387204474442,0.2913609874131,0.470181056922266,0.26499532407767,0.695339084813436,0.245008746752414,0.295749522829829,0.0098737279782003,0.0074089917517632,0.0081133316842008,0.278185804710042,0.323397787795313,0.311940506665632,0.298449400676436,0.192291215899774,0.260594890271475,0.376877624837395,0.290685690196858,0.361755946215045,0.0052953478570296,0.0038857302277992,0.0470461455369069,0.363772719632213,0.361755946215045,0.344269173241354,0.334846575463533,0.405083800881562,0.336529552339027,0.379900897728854,0.442331898477261,0.561242619704768,-0.0017569419336024,0.220901164226162
"7",90,0.006,0.282579172793683,0.319355052296936,0.305196641588274,0.310254848031113,0.293049068601487,0.320028916502887,0.2541600973824,0.26499532407767,0.2304160907625,-0.0017569419336024,0.187854219520313,0.0017705179983936,0.268040701758375,0.258224651070278,0.304522072079712,0.2778477834807,0.2744670135576,0.276833659243534,0.226679315574285,0.277171710767674,0.239581607864563,0.0007125570968625,0.0379539473649123,-0.0003456410574216,0.369485963630786,0.267364026334353,0.210354438692862,0.405419461550082,0.303510154165985,0.2609334512712,0.279537789251588,0.230076448881414,0.218180692617487,-0.0035216644982979,-0.0059933940295752,0.000359850767155199,0.302160810616466,0.2575473389121,0.373182057625112,0.260594890271475,0.307220148211183,0.259579140533453,0.342923390672903,0.299799126693038,0.27750975217332,0.0045905913202368,-0.0059933940295752,0.0038857302277992,0.315985272629615,0.31430009184907,0.292711470780295,0.7025047984125,0.326429143189135,0.3149741877,0.300811329120766,0.268040701758375,0.297774484684194,0.0137443298616024,0.0123371982654216,0.0091696471086777,0.320365837271405,0.3217134452544,0.350996649616456,0.314637143711139,0.4997193569625,0.288997283888087,0.742557682238212,0.2643184546875,0.306882918020909,0.0088175678701056,0.0095217004713,0.0088175678701056,0.3116033910897,0.341241023393998,0.336529552339027,0.315311223835881,0.208992596389714,0.272099864136182,0.425219864475898,0.3183441990123,0.393669758762815,0.0042381738535875,0.0049429826479749,0.1002375431979,0.402734106975135,0.401727057102646,0.378221342112154,0.365789315931216,0.426226516210878,0.36444493786258,0.420522002580127,0.502405706400526,0.626721746447878,-0.0017569419336024,0.213077447631969
"8",105,0.006,0.2981119471125,0.339221975354822,0.345951264507494,0.343596294224363,0.33282678322562,0.323734634180729,0.2677023693888,0.252127202047927,0.2879841273384,-0.0003456410574216,0.222601020344158,0.0021231190037997,0.295411997784554,0.287308642316302,0.335519786050755,0.304184774615482,0.307894583657301,0.297774484684194,0.272099864136182,0.3014860871928,0.270408730868122,0.0014178906922539,0.0463473188008875,-0.0003456410574216,0.374861924588758,0.280889614162749,0.253482511795942,0.441325347895469,0.313288888821337,0.267025672574806,0.316322285327923,0.257208665905566,0.241617151410773,-0.0024627513088512,-0.0038746887427776,0.0007125570968625,0.329459918198939,0.282917055054413,0.390312036823891,0.275143249137458,0.33282678322562,0.2778477834807,0.321039656240662,0.300811329120766,0.3149741877,0.0052953478570296,-0.0056402097354081,0.0038857302277992,0.317670258602746,0.334846575463533,0.326765924359238,0.775947013021747,0.354695781369022,0.353014441454846,0.328786462042677,0.286295343395138,0.322050328578519,0.0162058248336357,0.0119853511821969,0.0088175678701056,0.346624058928199,0.34931500016657,0.36444493786258,0.351669269434578,0.5434058634456,0.306882918020909,0.806051585942286,0.29743701337129,0.336866127958013,0.0095217004713,0.0116334783848448,0.0081133316842008,0.325418756606508,0.367805739481261,0.36444493786258,0.338212365254502,0.224300542082918,0.293724236760739,0.446693605266374,0.361083648294559,0.426897611545928,0.0052953478570296,0.0052953478570296,0.101621385214951,0.420522002580127,0.426226516210878,0.402062743000713,0.390647823632813,0.472194508912282,0.394005513464738,0.4460225737257,0.541051369986662,0.682729742197094,-0.0021098333596071,0.216479955280218
"9",120,0.006,0.327776225080414,0.363436603147219,0.353014441454846,0.370494043045763,0.378221342112154,0.325755559332998,0.28494414405972,0.307220148211183,0.310254848031113,0.0102257296496064,0.237884981757542,0.0010652370651528,0.324071473239088,0.300811329120766,0.357049428239062,0.307894583657301,0.332153465114826,0.336866127958013,0.293049068601487,0.322724072962397,0.302835499553587,0.0017705179983936,0.0484435148745993,-0.0017569419336024,0.401055677383661,0.295074463713087,0.278185804710042,0.4695099184128,0.3351831840768,0.294061807139254,0.337875815666842,0.294061807139254,0.255176389607777,-0.0045808171251,0.0320002193276712,7.11805580310032e-06,0.379900897728854,0.300473937041041,0.429581949819447,0.295749522829829,0.34931500016657,0.301823453225565,0.344605603599994,0.333836709585581,0.339558499234802,0.0038857302277992,-0.0066998428753728,0.0028282421933223,0.3721740853659,0.36646147609313,0.342923390672903,0.815774384597151,0.391319387365708,0.379900897728854,0.347296829542637,0.31430009184907,0.3553682789304,0.0140960486776071,0.0116334783848448,0.0084654627353559,0.378221342112154,0.3688138878408,0.4091115741816,0.36646147609313,0.576402294121318,0.331480119718584,0.889982728504662,0.3183441990123,0.374525959781803,0.0084654627353559,0.0109296555668472,0.0074089917517632,0.3587304444351,0.404748137781112,0.396691441199159,0.359066631923298,0.24806015255189,0.324071473239088,0.490654413243947,0.396691441199159,0.463134369341037,0.0035332604226441,0.0052953478570296,0.0704030917028352,0.464476553521463,0.462463283736615,0.43360834583015,0.430253024430269,0.502741515321483,0.434279400912038,0.491325817514062,0.594615140223879,0.761123737534389,-0.0028156958015625,0.189219725003586
"10",135,0.006,0.36612539840135,0.405083800881562,0.400719983522288,0.403741133685907,0.39971288568791,0.348978652988271,0.329459918198939,0.329123193622514,0.333836709585581,-0.0006984265927467,0.259917734922829,0.0014178906922539,0.339221975354822,0.331480119718584,0.392998239979718,0.342923390672903,0.345614858319222,0.361755946215045,0.317670258602746,0.355032032872647,0.323060934062611,-0.0006984265927467,0.0557735362468344,-0.0010512385704,0.426897611545928,0.313288888821337,0.287646389573067,0.501398300161538,0.359738991310508,0.312277614206534,0.342586929646178,0.320365837271405,0.29709953315356,-0.0052870521667584,0.0024756937287,0.000359850767155199,0.384603136307566,0.323060934062611,0.453739485812576,0.322387204474442,0.38158035462019,0.326429143189135,0.352678156851206,0.339558499234802,0.368477843031123,0.0038857302277992,-0.0066998428753728,0.0028282421933223,0.384938982340666,0.389304656384499,0.374189990702189,0.865709351430602,0.417501796593412,0.417166210002643,0.380908583548877,0.344269173241354,0.369821994651551,0.0270918238008,0.0112815798531375,0.0081133316842008,0.405419461550082,0.401727057102646,0.427233157527655,0.396019977295857,0.645353624137418,0.360747491721773,0.953911907496084,0.3520055708613,0.390647823632813,0.0077611746964125,0.0119853511821969,0.0074089917517632,0.38594649864729,0.437299117847347,0.417837381500681,0.393334000941218,0.270070472726272,0.343259845525555,0.5333171272875,0.436292550674325,0.505092275623025,0.0035332604226441,0.0045905913202368,0.0697073515152984,0.4930043769591,0.496697463660627,0.474543609960938,0.467496537080503,0.5400423881709,0.471523352010185,0.521888958022445,0.640268741328082,0.847844897988114,-0.0031686668579688,0.202520724085402
