"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationTime"
"1","SC+CASE+GAL","GEV",1.94036615802267e-06,99.2291494534632,25
"2","SC+CASE+GAL","GEV",2.0656089580018e-06,93.2126493463367,24.75
"3","SC+CASE+GAL","GEV",2.05205189806761e-06,93.8284668483222,25.75
"4","SC+CASE+GAL","GEV",1.96210725966484e-06,98.1296422713214,25.5
"5","SC+CASE+GAL","GEV",1.77310852840652e-06,108.589452029712,25.75
"6","SC+CASE+GAL","GEV",2.47468632152645e-06,77.8041571628803,25.75
"7","SC+CASE+GAL","GEV",1.76597952729209e-06,109.02781176864,25.75
"8","SC+CASE+GAL","GEV",2.15958172075764e-06,89.1565628835408,25.75
"9","SC+CASE+GAL","GEV",2.22394606624452e-06,86.57623780149,25.75
"10","SC+CASE+GAL","MEDIA",1.78346397167362e-08,10795.8942006656,0
"11","SC+CASE+GAL","MEDIA",4.06427453055604e-07,473.739856993696,21
"12","SC+CASE+GAL","MEDIA",4.22177992399792e-08,4560.65657033449,0
"13","SC+CASE+GAL","MEDIA",4.43006090278158e-07,434.623558714463,20.25
"14","SC+CASE+GAL","MEDIA",5.34761851731663e-08,3600.49773306358,0
"15","SC+CASE+GAL","MEDIA",1.63824699614274e-07,1175.28604625683,10.5
"16","SC+CASE+GAL","YBR196C-A",2.04746799759944e-06,94.03853135415,25.75
"17","SC+CASE+GAL","YBR196C-A",1.92636999374007e-06,99.9501051794589,25.25
"18","SC+CASE+GAL","YBR196C-A",2.03331153014541e-06,94.6932531657381,25.25
"19","SC+CASE+GAL","YBR196C-A",2.00129944351743e-06,96.207933356774,25.25
"20","SC+CASE+GAL","YBR196C-A",2.07826261803805e-06,92.6451170404243,25.75
"21","SC+CASE+GAL","YBR196C-A",2.11060487390619e-06,91.2254519400071,25.75
"22","SC+CASE+GAL","YBR196C-A",1.88607047823068e-06,102.085731000623,25.75
"23","SC+CASE+GAL","YBR196C-A",1.72700648622834e-06,111.488222554027,25.75
"24","SC+CASE+GAL","YBR196C-A",2.49808176125783e-06,77.0754930743044,25.75
"25","SC+CASE+GAL","YEL035C",2.16937234074994e-06,88.7541893441462,25.75
"26","SC+CASE+GAL","YEL035C",2.24687190585909e-06,85.6928617011017,25.75
"27","SC+CASE+GAL","YEL035C",2.11434224940779e-06,91.0641990637054,24.5
"28","SC+CASE+GAL","YEL035C",2.12702472153156e-06,90.5212250425727,25.75
"29","SC+CASE+GAL","YEL035C",2.04481434639634e-06,94.1605695540021,24.5
"30","SC+CASE+GAL","YEL035C",2.14532891884021e-06,89.7488873608077,24.5
"31","SC+CASE+GAL","YEL035C",2.09208342894781e-06,92.0330809109799,24.5
"32","SC+CASE+GAL","YEL035C",2.2018447798675e-06,87.4452573811584,25.5
