"","Media","Sample","MaxGrowthRate","DoubleTime","SaturationTime"
"1","SC+CASE+GAL","GEV",1.90626795280739e-06,101.004102390389,25
"2","SC+CASE+GAL","GEV",2.0296469971949e-06,94.8642220814639,24.75
"3","SC+CASE+GAL","GEV",2.00873126362978e-06,95.8519872593371,25.75
"4","SC+CASE+GAL","GEV",1.93325029485948e-06,99.5943898215565,25.5
"5","SC+CASE+GAL","GEV",1.71555677907479e-06,112.232300228916,25.75
"6","SC+CASE+GAL","GEV",1.90612944874415e-06,101.011441597384,25.75
"7","SC+CASE+GAL","GEV",1.74055252452146e-06,110.62055340261,25.75
"8","SC+CASE+GAL","GEV",2.09605424841732e-06,91.8587310582524,25.75
"9","SC+CASE+GAL","GEV",2.17436852094444e-06,88.5502533881624,25.75
"10","SC+CASE+GAL","MEDIA",1.78346397167362e-08,10795.8942006656,0
"11","SC+CASE+GAL","MEDIA",4.06427453055604e-07,473.739856993696,21
"12","SC+CASE+GAL","MEDIA",4.22177992399792e-08,4560.65657033449,0
"13","SC+CASE+GAL","MEDIA",4.43006090278158e-07,434.623558714463,20.25
"14","SC+CASE+GAL","MEDIA",5.34761851731663e-08,3600.49773306358,0
"15","SC+CASE+GAL","MEDIA",1.63824699614274e-07,1175.28604625683,10.5
"16","SC+CASE+GAL","YBR196C-A",2.03720957336254e-06,94.5120649374689,25.75
"17","SC+CASE+GAL","YBR196C-A",1.90852875795523e-06,100.884454942748,25.25
"18","SC+CASE+GAL","YBR196C-A",2.00399078388831e-06,96.0787270265234,25.25
"19","SC+CASE+GAL","YBR196C-A",1.95309401726063e-06,98.5824961764657,25.25
"20","SC+CASE+GAL","YBR196C-A",2.05121586896916e-06,93.8667092048363,25.75
"21","SC+CASE+GAL","YBR196C-A",2.07806549565844e-06,92.6539052263447,25.75
"22","SC+CASE+GAL","YBR196C-A",1.86037146261367e-06,103.495934741103,25.75
"23","SC+CASE+GAL","YBR196C-A",1.70332021483939e-06,113.038571263025,25.75
"24","SC+CASE+GAL","YBR196C-A",2.40272390176744e-06,80.1344188349069,25.75
"25","SC+CASE+GAL","YEL035C",2.09303974020591e-06,91.9910309347171,25.75
"26","SC+CASE+GAL","YEL035C",2.147686984098e-06,89.650347054526,25.75
"27","SC+CASE+GAL","YEL035C",2.07165695747674e-06,92.9405241509611,24.5
"28","SC+CASE+GAL","YEL035C",2.10570691174006e-06,91.4376461488492,25.75
"29","SC+CASE+GAL","YEL035C",1.97776432431633e-06,97.3527943251937,24.5
"30","SC+CASE+GAL","YEL035C",2.11521883504589e-06,91.0264603826189,24.5
"31","SC+CASE+GAL","YEL035C",2.05326705923244e-06,93.7729374379825,24.5
"32","SC+CASE+GAL","YEL035C",2.15904854305447e-06,89.1785801242245,25.5
"33","SC+CASE+GAL","YEL035C",2.10424379015525e-06,91.501224520505,25.5
"34","SC+CASE+GAL","YEL035C",2.17398840788156e-06,88.5657360411111,24.5
"35","SC+CASE+GAL","YEL035C",2.04667759443838e-06,94.0748479448265,24.5
"36","SC+CASE+GAL","YEL035C",3.15032429212118e-06,61.1177979265214,20.5
"37","SC+CASE+GAL","YPR126C",1.22198370501697e-07,1575.64198850098,0
"38","SC+CASE+GAL","YPR126C",2.1341902171106e-06,90.2173020685794,25.25
"39","SC+CASE+GAL","YPR126C",2.08855851502132e-06,92.1884075088545,23.25
"40","SC+CASE+GAL","YPR126C",2.05729283381078e-06,93.5894396386074,24.75
"41","SC+CASE+GAL","YPR126C",2.1237077261802e-06,90.6626091318069,25.75
