"","Sample","MaxGrowthRate","DoubleTime","SaturationTime"
"1","BLANK","2.45650180484784e-28","7.83801107366985e+23","0"
"2","YER014C-A","1.86163370441975e-06","103.425761486676","18.5"
"3","YLL006W-A","2.00491982762347e-06","96.0342058750061","25"
"4","YEL035C","1.81021879825637e-06","106.363321204228","17"
"5","YNL303W","1.86470088431421e-06","103.255640145033","18.5"
"6","YMR230W-A","1.05651838828444e-06","182.240920389014","25"
"7","YGR035W-A","1.86651863900203e-06","103.155082122201","18.5"
"8","YPR126C","1.96146765518832e-06","98.1616408405103","18.5"
"9","YER014C-A","1.89289167168943e-06","101.717856530601","24.25"
"10","YLL006W-A","1.91802919524786e-06","100.384751163286","18.5"
"11","YEL035C","1.87012455447762e-06","102.956181730182","17"
"12","MEDIA","4.81738990871375e-06","39.967884505384","26.25"
"13","MEDIA","1.73544103260156e-06","110.946370329991","25.75"
"14","YPR126C","1.83999251245283e-06","104.642210327369","26.25"
"15","YER014C-A","1.88006014812673e-06","102.412087017918","18.5"
"16","YLL006W-A","1.81629935802815e-06","106.007240842668","18.5"
"17","YEL035C","1.96526417404401e-06","97.9720111076335","17"
"18","REF","1.83360938500029e-06","105.006488875952","18.5"
"19","YER014C-A","1.88443695630591e-06","102.174223894608","18.5"
"20","YMR230W-A","7.38004199851342e-06","26.0894021372314","26.25"
"21","YPR126C","1.87870052762551e-06","102.486202914003","18.5"
"22","REF","1.91311244680771e-06","100.642742568611","17.25"
"23","YNL303W","1.88042768298355e-06","102.392070288703","21.5"
"24","MEDIA","6.33358212927431e-06","30.3999979093876","0"
"25","MEDIA","9.15565636663643e-06","21.0297193099667","26.25"
"26","YGR035W-A","1.88766275162706e-06","101.999620071389","24.5"
"27","YPR126C","1.88345867414782e-06","102.227293930932","18.75"
"28","YER014C-A","1.87341105278774e-06","102.775567167901","24.5"
"29","YLL006W-A","2.10443178908479e-06","91.4930502796716","25"
"30","YEL035C","1.92883048640126e-06","99.8226048615133","25.5"
"31","YLL006W-A","1.94466352513956e-06","99.0098703450799","18.5"
"32","REF","1.98863484428887e-06","96.8206325267954","25.75"
"33","YER014C-A","1.95033931150974e-06","98.7217364448391","18.5"
"34","YNL303W","1.83828883459135e-06","104.739189982447","18.5"
"35","YBR196C-A","2.0148272722998e-06","95.5619799949902","15.25"
"36","MEDIA","2.38468461601698e-05","8.07406070369445","0"
"37","MEDIA","5.93293872655734e-06","32.4528690355442","17.75"
"38","YKL183C-A","1.81766564085112e-06","105.927558491294","25.25"
"39","YGR035W-A","1.89498774419187e-06","101.605344983898","26.25"
"40","YPR126C","1.76666080815016e-06","108.985767160636","25.25"
"41","YER014C-A","1.97228554112653e-06","97.6232292302351","26.25"
"42","YLL006W-A","2.03005590768288e-06","94.8451137528723","26.25"
"43","YEL035C","1.93674819271565e-06","99.4145156365931","16.75"
"44","YNL303W","1.88601564109138e-06","102.088699210074","18.5"
"45","YLL006W-A","1.94245380283119e-06","99.1225033039338","18.5"
"46","YBR196C-A","1.98412707358618e-06","97.0406009030804","26.25"
"47","YKL183C-A","1.87727084545016e-06","102.564253823856","18.5"
"48","MEDIA","7.58534623971316e-06","25.3832689246041","0"
"49","MEDIA","1.31748214554082e-06","146.143068534593","0"
"50","YBR196C-A","2.00105422369186e-06","96.2197231885322","25.5"
"51","YKL183C-A","1.96426312846321e-06","98.021940492012","26.25"
"52","YGR035W-A","1.93008811994633e-06","99.7575610662937","24.75"
"53","YPR126C","1.93871105795881e-06","99.3138625265758","26.25"
"54","YMR230W-A","1.88105723102868e-06","102.357801938637","26.25"
"55","YNL303W","1.84781991506793e-06","104.19894380335","17.25"
"56","YBR196C-A","2.03336473549616e-06","94.6907754067506","26.25"
"57","YEL035C","1.98456221255361e-06","97.0193235923422","16.75"
"58","YKL183C-A","1.84022183957674e-06","104.629169890278","18.5"
"59","YGR035W-A","1.89866530266315e-06","101.408543790634","18.5"
"60","MEDIA","2.5956278793546e-06","74.1789241132473","26.25"
"61","MEDIA","4.98629364094847e-07","386.140282448848","26.25"
"62","YNL303W","1.87675101455283e-06","102.592662530011","20"
"63","YBR196C-A","2.13247141915655e-06","90.2900183136001","26.25"
"64","YKL183C-A","1.81561430066616e-06","106.047238897727","21"
"65","YGR035W-A","1.9969041238916e-06","96.4196934571136","26.25"
"66","REF","1.86079205480213e-06","103.472541701791","18.5"
"67","YMR230W-A","6.50677047734509e-06","29.5908521991442","26.25"
"68","YEL035C","1.98259838451912e-06","97.1154243806035","26.25"
"69","REF","2.12543520201884e-06","90.5889218857339","26.25"
"70","YMR230W-A","1.0793841820593e-06","178.380308595531","0"
"71","REF","1.94119535435133e-06","99.186762969157","18.5"
"72","MEDIA","7.6319491087971e-06","25.2282714080127","0"
"73","MEDIA","4.25780462158093e-06","45.2206948418838","25.5"
"74","REF","1.96754695201263e-06","97.8583424867809","24.75"
"75","YNL303W","1.99551684556683e-06","96.4867241870774","17"
"76","YBR196C-A","2.09431679439979e-06","91.9349374477291","24.25"
"77","YKL183C-A","2.05754775245563e-06","93.5778444311103","17.25"
"78","YMR230W-A","7.29164643113876e-07","264.056801584116","0"
"79","YKL183C-A","1.95835982134927e-06","98.3174191943014","20"
"80","YGR035W-A","4.31330016102349e-06","44.6388788864594","0"
"81","YPR126C","1.91888128773902e-06","100.340174621089","26.25"
"82","YER014C-A","1.887768639027e-06","101.993898779945","18.5"
"83","YLL006W-A","1.79242497101013e-06","107.419215087349","17.25"
"84","MEDIA","7.56458488704401e-07","254.5293447875","5"
"85","MEDIA","8.37680862186123e-07","229.849925168868","26.25"
"86","YMR230W-A","2.14954175124584e-06","89.5729907908419","24.75"
"87","REF","4.599261711358e-07","418.634327795239","25.5"
"88","YNL303W","2.80659540898181e-07","686.030066438127","26"
"89","YBR196C-A","5.21807102145456e-07","368.988621843637","0"
