"","Media","Sample","StartingOD","ObsSOD","MaxGrowthRate","DoubleTime","LagTime","SatPoint"
"1","SC+GLU","1.1_S",0.03125,0.0461025708718793,0.00680771083093741,101.817952873374,165.721316987822,4.41805708265808
"2","SC+GLU","1.2_S",0.03125,0.0399299324651173,0.00707297604335188,97.9993677783565,154.744990214384,4.58279791865497
"3","SC+GLU","1.3_S",0.03125,0.0306861473238041,0.00734214982090806,94.406569937607,129.670574092391,4.54365943452493
"4","SC+GLU","2.1_S",0.03125,0.0430152298630564,0.00947855520858404,73.1279361998348,75.5103296195878,5.59432022647375
"5","SC+GLU","2.2_S",0.03125,0.0708767242878607,0.00926996082189544,74.7734746540403,118.462617260371,5.74236664553572
"6","SC+GLU","2.3_S",0.03125,0.0461025708718793,0.00970210244160276,71.4429872011781,85.8064313751716,5.73088137720746
"7","SC+GLU","3.1_S",0.03125,0.0430152298630564,0.00730995755882898,94.8223262558838,164.172835753655,4.70161578489881
"8","SC+GLU","3.2_S",0.03125,0.0368466632167821,0.00723964557912713,95.7432477852758,144.668503776955,4.66177510432
"9","SC+GLU","3.3_S",0.03125,0.0306861473238041,0.00730622382900435,94.8707837020103,130.374758146897,4.58279791865497
"10","SC+GLU","4.1_S",0.03125,0.0276088697566015,0.0110512527146666,62.721141073902,77.6486216286141,6.07060918023271
"11","SC+GLU","4.2_S",0.03125,0.0430152298630564,0.00996762982010979,69.5398197033274,100.74438449284,6.2885086750478
"12","SC+GLU","4.3_S",0.03125,0.033765406656771,0.0101048918039097,68.5952105189049,84.6259113069148,5.96369234977437
"13","SC+GLU","1.1_S",0.0625,0.086431007459333,0.00644050884270737,107.623046173564,128.340586354205,4.39894906036681
"14","SC+GLU","1.2_S",0.0625,0.102041792350848,0.00615673935228777,112.583486306332,129.711004818291,4.39894906036681
"15","SC+GLU","1.3_S",0.0625,0.102041792350848,0.00618552127574815,112.059622731814,125.856324008246,4.60245450236025
"16","SC+GLU","2.1_S",0.0625,0.117711011622386,0.00834164609844649,83.0947719885928,62.7852776537937,5.84646727956163
"17","SC+GLU","2.2_S",0.0625,0.111436188097929,0.00869173662442055,79.7478352729257,66.9628763714476,6.11856092307421
"18","SC+GLU","2.3_S",0.0625,0.117711011622386,0.0083914761314527,82.6013408966165,58.380122658231,6.14263721637797
"19","SC+GLU","3.1_S",0.0625,0.0957905744975979,0.00622350038252594,111.37577536046,123.03683809412,4.62216947874602
"20","SC+GLU","3.2_S",0.0625,0.114572400249998,0.00608486811806749,113.913262721639,135.35532511873,4.80225234572951
"21","SC+GLU","3.3_S",0.0625,0.102041792350848,0.00635795668389558,109.020431409301,136.315849439478,4.81239773737792
"22","SC+GLU","4.1_S",0.0625,0.111436188097929,0.0091290252907247,75.9278409781819,81.8986087783658,6.5370693651572
"23","SC+GLU","4.2_S",0.0625,0.0895485824549132,0.00932005456426979,74.3715796704944,79.2051514667277,6.21526926810419
"24","SC+GLU","4.3_S",0.0625,0.108302359704901,0.00883816484726207,78.4265956268819,76.33425904019,7.39324886866819
"25","SC+GLU","1.1_S",0.125,0.20020768478973,0.00582381672157794,119.019401484898,109.693889441453,4.52417728671969
"26","SC+GLU","1.2_S",0.125,0.242153064238637,0.00542342655637301,127.806133881436,111.255094806396,4.53391111565173
"27","SC+GLU","1.3_S",0.125,0.216282334188201,0.00571399725319629,121.306880253086,113.425226549214,4.53391111565173
"28","SC+GLU","2.1_S",0.125,0.261682421064233,0.0077705154136118,89.2022142245214,43.8451288576271,6.42436944073929
"29","SC+GLU","2.2_S",0.125,0.242153064238637,0.00813917773489059,85.1618189376304,54.1673624911503,7.00197288250413
"30","SC+GLU","2.3_S",0.125,0.264948110214877,0.00774183472250962,89.5326760909269,47.1890202564676,6.41193310216556
"31","SC+GLU","3.1_S",0.125,0.209843900713944,0.00570792633314194,121.435901604988,101.80608476572,4.82255805188334
"32","SC+GLU","3.2_S",0.125,0.235667584922538,0.00550451389763882,125.923413665514,106.693047905313,4.80225234572951
"33","SC+GLU","3.3_S",0.125,0.20020768478973,0.00569190904326427,121.777627732862,96.0974310933945,4.82255805188334
"34","SC+GLU","4.1_S",0.125,0.232429333118561,0.00815700176167181,84.9757301533158,56.6465357592625,7.16204001718322
"35","SC+GLU","4.2_S",0.125,0.203416919474552,0.00860544262049672,80.5475338257425,64.8998508667585,7.47610925989411
"36","SC+GLU","4.3_S",0.125,0.219505884166602,0.00848210095631377,81.7188081266578,61.8494960703486,7.32470132813
"37","SC+GLU","1.1_S",0.25,0.477632520823485,0.00485513851902671,142.765685848835,81.0392838395872,4.66177510432
"38","SC+GLU","1.2_S",0.25,0.470650971803278,0.0049245970846032,140.752059234871,75.1042296582869,4.86334884770058
"39","SC+GLU","1.3_S",0.25,0.51987054083582,0.00478196797770645,144.950192847673,82.7640680612396,4.88383418474448
"40","SC+GLU","2.1_S",0.25,0.526969486261954,0.00745117265114701,93.0252475700243,44.8972244828526,6.8575007692335
"41","SC+GLU","2.2_S",0.25,0.606224632423746,0.0070372372554811,98.4970600529452,44.3994446396933,7.16204001718322
