"","Media","Sample","StartingOD","ObsSOD","MaxGrowthRate","DoubleTime","LagTime","SatPoint"
"1","SC+GLU","1.1_S",0.03125,0.103,0.00410184498837545,168.984245510084,306.524938682925,0.895
"2","SC+GLU","1.2_S",0.03125,0.101,0.00416600553947688,166.38172320985,301.687260814382,0.912
"3","SC+GLU","1.3_S",0.03125,0.098,0.00416217715725562,166.534761585444,297.613526525046,0.908
"4","SC+GLU","2.1_S",0.03125,0.102,0.00540664692810484,128.202782570622,173.366136883364,1.008
"5","SC+GLU","2.2_S",0.03125,0.111,0.00538855064589614,128.63332389533,183.359101132123,1.021
"6","SC+GLU","2.3_S",0.03125,0.103,0.00548896409408032,126.280144792254,174.648296947955,1.02
"7","SC+GLU","3.1_S",0.03125,0.102,0.00412920139520308,167.864706566548,295.146340978534,0.924
"8","SC+GLU","3.2_S",0.03125,0.1,0.00413119130622009,167.783849543911,292.829330017929,0.92
"9","SC+GLU","3.3_S",0.03125,0.098,0.00418775576526621,165.51757538226,295.79913061479,0.912
"10","SC+GLU","4.1_S",0.03125,0.097,0.00556265766720543,124.607197140026,181.625630090683,1.049
"11","SC+GLU","4.2_S",0.03125,0.102,0.00556656426233021,124.519748249486,189.682690501009,1.067
"12","SC+GLU","4.3_S",0.03125,0.099,0.00563069889072297,123.101446909541,192.589744939833,1.04
"13","SC+GLU","1.1_S",0.0625,0.116,0.0039526850923062,175.361093629528,214.83195455505,0.893
"14","SC+GLU","1.2_S",0.0625,0.121,0.00380560137500973,182.138671987991,205.8024767873,0.893
"15","SC+GLU","1.3_S",0.0625,0.121,0.00388919537251624,178.2238005985,206.892052433401,0.914
"16","SC+GLU","2.1_S",0.0625,0.126,0.00514326917938488,134.767821085118,109.015666459354,1.03
"17","SC+GLU","2.2_S",0.0625,0.124,0.00527021014869133,131.521734618507,111.98167558244,1.053
"18","SC+GLU","2.3_S",0.0625,0.126,0.0051476370293609,134.653468495622,103.630167126353,1.055
"19","SC+GLU","3.1_S",0.0625,0.119,0.0039373080057186,176.045963270643,210.607131172848,0.916
"20","SC+GLU","3.2_S",0.0625,0.125,0.00384875638360703,180.096402960775,208.156100075364,0.934
"21","SC+GLU","3.3_S",0.0625,0.121,0.00393155516252087,176.303562307264,210.791169385704,0.935
"22","SC+GLU","4.1_S",0.0625,0.124,0.00524271331929637,132.211535963399,116.484380978736,1.087
"23","SC+GLU","4.2_S",0.0625,0.117,0.00548234235671913,126.432669734758,129.400698177648,1.061
"24","SC+GLU","4.3_S",0.0625,0.123,0.00530397607378891,130.6844470859,120.519569336826,1.152
"25","SC+GLU","1.1_S",0.125,0.152,0.00368865123732832,187.913450191618,143.370888077321,0.906
"26","SC+GLU","1.2_S",0.125,0.165,0.00344041053839719,201.472229207526,136.456871865998,0.907
"27","SC+GLU","1.3_S",0.125,0.157,0.00362025672304196,191.463543496308,143.392229128657,0.907
"28","SC+GLU","2.1_S",0.125,0.171,0.00486030061030232,142.614055412682,56.338293991213,1.078
"29","SC+GLU","2.2_S",0.125,0.165,0.00510494628973448,135.779524645302,69.2653020120657,1.123
"30","SC+GLU","2.3_S",0.125,0.172,0.00486402647859222,142.504812342338,60.3950380432167,1.077
"31","SC+GLU","3.1_S",0.125,0.155,0.0036147500904549,191.755214942872,133.46368161033,0.936
"32","SC+GLU","3.2_S",0.125,0.163,0.00349105227900718,198.549642103059,133.089893031058,0.934
"33","SC+GLU","3.3_S",0.125,0.152,0.00360575608269944,192.233519035215,130.749432518792,0.936
"34","SC+GLU","4.1_S",0.125,0.162,0.00508358374687263,136.350105569985,71.7935652989984,1.135
"35","SC+GLU","4.2_S",0.125,0.153,0.00532152976903628,130.253368982933,83.4200980884449,1.158
"36","SC+GLU","4.3_S",0.125,0.158,0.00528493226952404,131.155357384054,79.0789734319516,1.147
"37","SC+GLU","1.1_S",0.25,0.235,0.00298970065627684,231.845010671785,77.4200554988687,0.92
"38","SC+GLU","1.2_S",0.25,0.233,0.00301578011737918,229.840092308293,70.7007937134756,0.94
"39","SC+GLU","1.3_S",0.25,0.247,0.00293603952742064,236.082373580606,77.5889294818865,0.942
"40","SC+GLU","2.1_S",0.25,0.249,0.00461807038672908,150.094546534379,41.9206588530896,1.112
"41","SC+GLU","2.2_S",0.25,0.271,0.00433488361337614,159.899836392632,40.3343830440799,1.135
"42","SC+GLU","2.3_S",0.25,0.259,0.0044168548448594,156.932297960091,35.4873975885971,1.141
"43","SC+GLU","3.1_S",0.25,0.238,0.00293310556468969,236.318524946536,69.4495801603844,0.959
"44","SC+GLU","3.2_S",0.25,0.223,0.00319503843784452,216.944864371512,81.8823412740909,0.952
"45","SC+GLU","3.3_S",0.25,0.243,0.00298383284791042,232.300941738528,79.0141459977544,0.972
"46","SC+GLU","4.1_S",0.25,0.218,0.00488866572825102,141.786577174694,45.1951596179203,1.185
"47","SC+GLU","4.2_S",0.25,0.238,0.00471127560784243,147.125160626588,44.778216262458,1.206
"48","YPDA","1.1_Y",0.03125,0.11,0.0033270628485552,208.336064604535,266.099138756099,0.876
