"","MaxGR","DTime","SOD","Sugar","Sample","biorep","techrep"
"1",0.006310454164401,109.841092653866,0.922,"Glucose","No.ORF.1A","No","No.1"
"2",0.00621212168702775,111.579781511265,0.935,"Glucose","No.ORF.1B","No","No.1"
"3",0.00627231976015939,110.508903733303,0.932,"Glucose","No.ORF.2A","No","No.2"
"4",0.00619406119378483,111.905123129144,0.927,"Glucose","No.ORF.2B","No","No.2"
"5",0.00628133444271342,110.350306432739,0.924,"Glucose","IO.1A","IO","IO.1"
"6",0.00624270807742815,111.033092043206,0.907,"Glucose","IO.1B","IO","IO.1"
"7",0.00619202542046454,111.941914558216,0.943,"Glucose","IO.2A","IO","IO.2"
"8",0.00619447604324463,111.89762874551,0.912,"Glucose","IO.2B","IO","IO.2"
"9",0.00613008894939817,113.072940096244,0.905,"Glucose","Scer.1A","Scer","Scer.1"
"10",0.00609915206483434,113.646482853969,0.931,"Glucose","Scer.1B","Scer","Scer.1"
"11",0.00620641099649847,111.682449156365,0.952,"Glucose","Scer.2A","Scer","Scer.2"
"12",0.00618987824946175,111.980745440384,0.98,"Glucose","Scer.2B","Scer","Scer.2"
"13",0.00640662332361545,108.192279387636,0.919,"Glucose","Spar.1A","Spar","Spar.1"
"14",0.00629751569200222,110.066765127753,0.925,"Glucose","Spar.1B","Spar","Spar.1"
"15",0.00619762394336729,111.840793648307,0.885,"Glucose","Spar.2A","Spar","Spar.2"
"16",0.00624117847888724,111.060304220547,0.901,"Glucose","Spar.2B","Spar","Spar.2"
"17",0.00455154338402573,152.288382659966,0.637,"Galactose","No.ORF.1A","No","No.1"
"18",0.00452333274733194,153.238158516813,0.668,"Galactose","No.ORF.1B","No","No.1"
"19",0.00473998648228858,146.233999432268,0.746,"Galactose","No.ORF.2A","No","No.2"
"20",0.00480655152744402,144.208831758544,0.756,"Galactose","No.ORF.2B","No","No.2"
"21",0.00375826266213251,184.432873078286,0.486,"Galactose","IO.1A","IO","IO.1"
"22",0.00392577632543973,176.563085387272,0.48,"Galactose","IO.1B","IO","IO.1"
"23",0.00345175507759266,200.810070523128,0.378,"Galactose","IO.2A","IO","IO.2"
"24",0.00338856066618043,204.555045296344,0.373,"Galactose","IO.2B","IO","IO.2"
"25",0.00385671801779241,179.724620094653,0.568,"Galactose","Scer.1A","Scer","Scer.1"
"26",0.0040962452148392,169.21525548542,0.574,"Galactose","Scer.1B","Scer","Scer.1"
"27",0.00384466877626547,180.287879371818,0.538,"Galactose","Scer.2A","Scer","Scer.2"
"28",0.00387402130567289,178.921881391035,0.508,"Galactose","Scer.2B","Scer","Scer.2"
"29",0.0043306741780798,160.055259771882,0.599,"Galactose","Spar.1A","Spar","Spar.1"
"30",0.00453144217652068,152.963924851879,0.615,"Galactose","Spar.1B","Spar","Spar.1"
"31",0.00402202303448863,172.33794401878,0.526,"Galactose","Spar.2A","Spar","Spar.2"
"32",0.0041590864863487,166.658515718548,0.552,"Galactose","Spar.2B","Spar","Spar.2"
