"","variable","value"
"1","Time",0
"2","BLANK_YPDA",0.0975
"3","1.1_Y",0.2216
"4","1.2_Y",0.2171
"5","1.3_Y",0.2231
"6","2.1_Y",0.2356
"7","2.2_Y",0.2364
"8","2.3_Y",0.2368
"9","3.1_Y",0.2183
"10","3.2_Y",0.2191
"11","3.3_Y",0.2131
"12","4.1_Y",0.2283
"13","4.2_Y",0.2389
"14","1.1_Y",0.2216
"15","1.2_Y",0.2171
"16","1.3_Y",0.2231
"17","2.1_Y",0.2356
"18","2.2_Y",0.2364
"19","2.3_Y",0.2368
"20","3.1_Y",0.2183
"21","3.2_Y",0.2191
"22","3.3_Y",0.2131
"23","4.1_Y",0.2283
"24","4.2_Y",0.2389
"25","4.3_Y",0.1679
"26","1.1_Y",0.2216
"27","1.2_Y",0.2171
"28","1.3_Y",0.2231
"29","2.1_Y",0.2356
"30","2.2_Y",0.2364
"31","2.3_Y",0.2368
"32","3.1_Y",0.2183
"33","3.2_Y",0.2191
"34","3.3_Y",0.2131
"35","4.1_Y",0.2283
"36","4.2_Y",0.2389
"37","4.3_Y",0.1679
"38","1.1_Y",0.2216
"39","1.2_Y",0.2171
"40","1.3_Y",0.2231
"41","2.1_Y",0.2356
"42","2.2_Y",0.2364
"43","2.3_Y",0.2368
"44","3.1_Y",0.2183
"45","3.2_Y",0.2191
"46","3.3_Y",0.2131
"47","4.1_Y",0.2283
"48","4.2_Y",0.2389
"49","4.3_Y",0.1679
"50","BLANK_SC",0.0881
"51","1.1_S",0.2354
"52","1.2_S",0.2326
"53","1.3_S",0.2467
"54","2.1_S",0.2494
"55","2.2_S",0.2713
"56","2.3_S",0.2588
"57","3.1_S",0.2384
"58","3.2_S",0.2226
"59","3.3_S",0.2431
"60","4.1_S",0.2177
"61","4.2_S",0.2381
"62","1.1_S",0.2354
"63","1.2_S",0.2326
"64","1.3_S",0.2467
"65","2.1_S",0.2494
"66","2.2_S",0.2713
"67","2.3_S",0.2588
"68","3.1_S",0.2384
"69","3.2_S",0.2226
"70","3.3_S",0.2431
"71","4.1_S",0.2177
"72","4.2_S",0.2381
"73","4.3_S",0.1576
"74","1.1_S",0.2354
"75","1.2_S",0.2326
"76","1.3_S",0.2467
"77","2.1_S",0.2494
"78","2.2_S",0.2713
"79","2.3_S",0.2588
"80","3.1_S",0.2384
"81","3.2_S",0.2226
"82","3.3_S",0.2431
"83","4.1_S",0.2177
"84","4.2_S",0.2381
"85","4.3_S",0.1576
"86","1.1_S",0.2354
"87","1.2_S",0.2326
"88","1.3_S",0.2467
"89","2.1_S",0.2494
"90","2.2_S",0.2713
"91","2.3_S",0.2588
"92","3.1_S",0.2384
"93","3.2_S",0.2226
"94","3.3_S",0.2431
"95","4.1_S",0.2177
"96","4.2_S",0.2381
"97","4.3_S",0.1576
