Well Location	Group Name	Group Type	Sample Name	Descriptor1 Name	Descriptor1 Value	Descriptor1 Units	Descriptor2 Name	Descriptor2 Value	Descriptor2 Units
A01	SC+GAL	Unknowns	BLANK						
A02	SC+GAL	Unknowns	GEV						
A03	SC+GAL	Unknowns	GEV						
A04	SC+GAL	Unknowns	GEV						
A05	SC+GAL	Unknowns	GEV						
A06	SC+GAL	Unknowns	GEV						
A07	SC+GAL	Unknowns	GEV						
A08	SC+GAL	Unknowns	GEV						
A09	SC+GAL	Unknowns	GEV						
A10	SC+GAL	Unknowns	GEV						
A11	SC+GAL	Unknowns	YBR196C-A						
A12	SC+GAL	Unknowns	MEDIA						
B01	SC+GAL	Unknowns	MEDIA						
B02	SC+GAL	Unknowns	YBR196C-A						
B03	SC+GAL	Unknowns	YBR196C-A						
B04	SC+GAL	Unknowns	YBR196C-A						
B05	SC+GAL	Unknowns	YBR196C-A						
B06	SC+GAL	Unknowns	YBR196C-A						
B07	SC+GAL	Unknowns	YBR196C-A						
B08	SC+GAL	Unknowns	YBR196C-A						
B09	SC+GAL	Unknowns	YBR196C-A						
B10	SC+GAL	Unknowns	YEL035C						
B11	SC+GAL	Unknowns	YEL035C						
B12	SC+GAL	Unknowns	MEDIA						
C01	SC+GAL	Unknowns	MEDIA						
C02	SC+GAL	Unknowns	YEL035C						
C03	SC+GAL	Unknowns	YEL035C						
C04	SC+GAL	Unknowns	YEL035C						
C05	SC+GAL	Unknowns	YEL035C						
C06	SC+GAL	Unknowns	YEL035C						
C07	SC+GAL	Unknowns	YEL035C						
C08	SC+GAL	Unknowns	YEL035C						
C09	SC+GAL	Unknowns	YEL035C						
C10	SC+GAL	Unknowns	YEL035C						
C11	SC+GAL	Unknowns	YEL035C						
C12	SC+GAL	Unknowns	MEDIA						
D01	SC+GAL	Unknowns	YPR126C						
D02	SC+GAL	Unknowns	YPR126C						
D03	SC+GAL	Unknowns	YPR126C						
D04	SC+GAL	Unknowns	YPR126C						
D05	SC+GAL	Unknowns	YPR126C						
D06	SC+GAL	Unknowns	YPR126C						
D07	SC+GAL	Unknowns	YPR126C						
D08	SC+GAL	Unknowns	YPR126C						
D09	SC+GAL	Unknowns	YPR126C						
D10	SC+GAL	Unknowns	YPR126C						
D11	SC+GAL	Unknowns	YPR126C						
D12	SC+GAL	Unknowns	YPR126C						
E01	SC+CASE+GAL	Unknowns	MEDIA						
E02	SC+CASE+GAL	Unknowns	GEV1						
E03	SC+CASE+GAL	Unknowns	GEV1						
E04	SC+CASE+GAL	Unknowns	GEV1						
E05	SC+CASE+GAL	Unknowns	GEV2						
E06	SC+CASE+GAL	Unknowns	GEV2						
E07	SC+CASE+GAL	Unknowns	GEV2						
E08	SC+CASE+GAL	Unknowns	GEV3						
E09	SC+CASE+GAL	Unknowns	GEV3						
E10	SC+CASE+GAL	Unknowns	GEV3						
E11	SC+CASE+GAL	Unknowns	YBR196C-A						
E12	SC+CASE+GAL	Unknowns	MEDIA						
F01	SC+CASE+GAL	Unknowns	MEDIA						
F02	SC+CASE+GAL	Unknowns	YBR196C-A						
F03	SC+CASE+GAL	Unknowns	YBR196C-A						
F04	SC+CASE+GAL	Unknowns	YBR196C-A						
F05	SC+CASE+GAL	Unknowns	YBR196C-A						
F06	SC+CASE+GAL	Unknowns	YBR196C-A						
F07	SC+CASE+GAL	Unknowns	YBR196C-A						
F08	SC+CASE+GAL	Unknowns	YBR196C-A						
F09	SC+CASE+GAL	Unknowns	YBR196C-A						
F10	SC+CASE+GAL	Unknowns	YEL035C						
F11	SC+CASE+GAL	Unknowns	YEL035C						
F12	SC+CASE+GAL	Unknowns	MEDIA						
G01	SC+CASE+GAL	Unknowns	MEDIA						
G02	SC+CASE+GAL	Unknowns	YEL035C						
G03	SC+CASE+GAL	Unknowns	YEL035C						
G04	SC+CASE+GAL	Unknowns	YEL035C						
G05	SC+CASE+GAL	Unknowns	YEL035C						
G06	SC+CASE+GAL	Unknowns	YEL035C						
G07	SC+CASE+GAL	Unknowns	YEL035C						
G08	SC+CASE+GAL	Unknowns	YEL035C						
G09	SC+CASE+GAL	Unknowns	YEL035C						
G10	SC+CASE+GAL	Unknowns	YEL035C						
G11	SC+CASE+GAL	Unknowns	YEL035C						
G12	SC+CASE+GAL	Unknowns	MEDIA						
H01	SC+CASE+GAL	Unknowns	YPR126C						
H02	SC+CASE+GAL	Unknowns	YPR126C						
H03	SC+CASE+GAL	Unknowns	YPR126C						
H04	SC+CASE+GAL	Unknowns	YPR126C						
H05	SC+CASE+GAL	Unknowns	YPR126C						
H06	SC+CASE+GAL	Unknowns	YPR126C						
H07	SC+CASE+GAL	Unknowns	YPR126C						
H08	SC+CASE+GAL	Unknowns	YPR126C						
H09	SC+CASE+GAL	Unknowns	YPR126C						
H10	SC+CASE+GAL	Unknowns	YPR126C						
H11	SC+CASE+GAL	Unknowns	YPR126C						
H12	SC+CASE+GAL	Unknowns	YPR126C						
