Well Location	Group Name	Group Type	Sample Name	Descriptor1 Name	Descriptor1 Value	Descriptor1 Units	Descriptor2 Name	Descriptor2 Value	Descriptor2 Units
A01	Exp16_19	Unknowns	BLANK_YPDA	YPDA	OD 0.25				
A02	Exp16_19	Unknowns	1.1_Y	YPDA	OD 0.25				
A03	Exp16_19	Unknowns	1.2_Y	YPDA	OD 0.25				
A04	Exp16_19	Unknowns	1.3_Y	YPDA	OD 0.25				
A05	Exp16_19	Unknowns	2.1_Y	YPDA	OD 0.25				
A06	Exp16_19	Unknowns	2.2_Y	YPDA	OD 0.25				
A07	Exp16_19	Unknowns	2.3_Y	YPDA	OD 0.25				
A08	Exp16_19	Unknowns	3.1_Y	YPDA	OD 0.25				
A09	Exp16_19	Unknowns	3.2_Y	YPDA	OD 0.25				
A10	Exp16_19	Unknowns	3.3_Y	YPDA	OD 0.25				
A11	Exp16_19	Unknowns	4.1_Y	YPDA	OD 0.25				
A12	Exp16_19	Unknowns	4.2_Y	YPDA	OD 0.25				
B01	Exp16_19	Unknowns	1.1_Y	YPDA	OD 0.125				
B02	Exp16_19	Unknowns	1.2_Y	YPDA	OD 0.125				
B03	Exp16_19	Unknowns	1.3_Y	YPDA	OD 0.125				
B04	Exp16_19	Unknowns	2.1_Y	YPDA	OD 0.125				
B05	Exp16_19	Unknowns	2.2_Y	YPDA	OD 0.125				
B06	Exp16_19	Unknowns	2.3_Y	YPDA	OD 0.125				
B07	Exp16_19	Unknowns	3.1_Y	YPDA	OD 0.125				
B08	Exp16_19	Unknowns	3.2_Y	YPDA	OD 0.125				
B09	Exp16_19	Unknowns	3.3_Y	YPDA	OD 0.125				
B10	Exp16_19	Unknowns	4.1_Y	YPDA	OD 0.125				
B11	Exp16_19	Unknowns	4.2_Y	YPDA	OD 0.125				
B12	Exp16_19	Unknowns	4.3_Y	YPDA	OD 0.125				
C01	Exp16_19	Unknowns	1.1_Y	YPDA	OD 0.0625				
C02	Exp16_19	Unknowns	1.2_Y	YPDA	OD 0.0625				
C03	Exp16_19	Unknowns	1.3_Y	YPDA	OD 0.0625				
C04	Exp16_19	Unknowns	2.1_Y	YPDA	OD 0.0625				
C05	Exp16_19	Unknowns	2.2_Y	YPDA	OD 0.0625				
C06	Exp16_19	Unknowns	2.3_Y	YPDA	OD 0.0625				
C07	Exp16_19	Unknowns	3.1_Y	YPDA	OD 0.0625				
C08	Exp16_19	Unknowns	3.2_Y	YPDA	OD 0.0625				
C09	Exp16_19	Unknowns	3.3_Y	YPDA	OD 0.0625				
C10	Exp16_19	Unknowns	4.1_Y	YPDA	OD 0.0625				
C11	Exp16_19	Unknowns	4.2_Y	YPDA	OD 0.0625				
C12	Exp16_19	Unknowns	4.3_Y	YPDA	OD 0.0625				
D01	Exp16_19	Unknowns	1.1_Y	YPDA	OD 0.03125				
D02	Exp16_19	Unknowns	1.2_Y	YPDA	OD 0.03125				
D03	Exp16_19	Unknowns	1.3_Y	YPDA	OD 0.03125				
D04	Exp16_19	Unknowns	2.1_Y	YPDA	OD 0.03125				
D05	Exp16_19	Unknowns	2.2_Y	YPDA	OD 0.03125				
D06	Exp16_19	Unknowns	2.3_Y	YPDA	OD 0.03125				
D07	Exp16_19	Unknowns	3.1_Y	YPDA	OD 0.03125				
D08	Exp16_19	Unknowns	3.2_Y	YPDA	OD 0.03125				
D09	Exp16_19	Unknowns	3.3_Y	YPDA	OD 0.03125				
D10	Exp16_19	Unknowns	4.1_Y	YPDA	OD 0.03125				
D11	Exp16_19	Unknowns	4.2_Y	YPDA	OD 0.03125				
D12	Exp16_19	Unknowns	4.3_Y	YPDA	OD 0.03125				
E01	Exp16_19	Unknowns	BLANK_SC	SC+GLU	OD 0.25				
E02	Exp16_19	Unknowns	1.1_S	SC+GLU	OD 0.25				
E03	Exp16_19	Unknowns	1.2_S	SC+GLU	OD 0.25				
E04	Exp16_19	Unknowns	1.3_S	SC+GLU	OD 0.25				
E05	Exp16_19	Unknowns	2.1_S	SC+GLU	OD 0.25				
E06	Exp16_19	Unknowns	2.2_S	SC+GLU	OD 0.25				
E07	Exp16_19	Unknowns	2.3_S	SC+GLU	OD 0.25				
E08	Exp16_19	Unknowns	3.1_S	SC+GLU	OD 0.25				
E09	Exp16_19	Unknowns	3.2_S	SC+GLU	OD 0.25				
E10	Exp16_19	Unknowns	3.3_S	SC+GLU	OD 0.25				
E11	Exp16_19	Unknowns	4.1_S	SC+GLU	OD 0.25				
E12	Exp16_19	Unknowns	4.2_S	SC+GLU	OD 0.25				
F01	Exp16_19	Unknowns	1.1_S	SC+GLU	OD 0.125				
F02	Exp16_19	Unknowns	1.2_S	SC+GLU	OD 0.125				
F03	Exp16_19	Unknowns	1.3_S	SC+GLU	OD 0.125				
F04	Exp16_19	Unknowns	2.1_S	SC+GLU	OD 0.125				
F05	Exp16_19	Unknowns	2.2_S	SC+GLU	OD 0.125				
F06	Exp16_19	Unknowns	2.3_S	SC+GLU	OD 0.125				
F07	Exp16_19	Unknowns	3.1_S	SC+GLU	OD 0.125				
F08	Exp16_19	Unknowns	3.2_S	SC+GLU	OD 0.125				
F09	Exp16_19	Unknowns	3.3_S	SC+GLU	OD 0.125				
F10	Exp16_19	Unknowns	4.1_S	SC+GLU	OD 0.125				
F11	Exp16_19	Unknowns	4.2_S	SC+GLU	OD 0.125				
F12	Exp16_19	Unknowns	4.3_S	SC+GLU	OD 0.125				
G01	Exp16_19	Unknowns	1.1_S	SC+GLU	OD 0.0625				
G02	Exp16_19	Unknowns	1.2_S	SC+GLU	OD 0.0625				
G03	Exp16_19	Unknowns	1.3_S	SC+GLU	OD 0.0625				
G04	Exp16_19	Unknowns	2.1_S	SC+GLU	OD 0.0625				
G05	Exp16_19	Unknowns	2.2_S	SC+GLU	OD 0.0625				
G06	Exp16_19	Unknowns	2.3_S	SC+GLU	OD 0.0625				
G07	Exp16_19	Unknowns	3.1_S	SC+GLU	OD 0.0625				
G08	Exp16_19	Unknowns	3.2_S	SC+GLU	OD 0.0625				
G09	Exp16_19	Unknowns	3.3_S	SC+GLU	OD 0.0625				
G10	Exp16_19	Unknowns	4.1_S	SC+GLU	OD 0.0625				
G11	Exp16_19	Unknowns	4.2_S	SC+GLU	OD 0.0625				
G12	Exp16_19	Unknowns	4.3_S	SC+GLU	OD 0.0625				
H01	Exp16_19	Unknowns	1.1_S	SC+GLU	OD 0.03125				
H02	Exp16_19	Unknowns	1.2_S	SC+GLU	OD 0.03125				
H03	Exp16_19	Unknowns	1.3_S	SC+GLU	OD 0.03125				
H04	Exp16_19	Unknowns	2.1_S	SC+GLU	OD 0.03125				
H05	Exp16_19	Unknowns	2.2_S	SC+GLU	OD 0.03125				
H06	Exp16_19	Unknowns	2.3_S	SC+GLU	OD 0.03125				
H07	Exp16_19	Unknowns	3.1_S	SC+GLU	OD 0.03125				
H08	Exp16_19	Unknowns	3.2_S	SC+GLU	OD 0.03125				
H09	Exp16_19	Unknowns	3.3_S	SC+GLU	OD 0.03125				
H10	Exp16_19	Unknowns	4.1_S	SC+GLU	OD 0.03125				
H11	Exp16_19	Unknowns	4.2_S	SC+GLU	OD 0.03125				
H12	Exp16_19	Unknowns	4.3_S	SC+GLU	OD 0.03125				
