date,varname,attempt,sample,value
1112,endpoint,1,MEDIA,0.0942
1112,endpoint,1,MEDIA,0.0898
1112,endpoint,1,MEDIA,0.0856
1112,endpoint,1,MEDIA,0.0874
1112,endpoint,1,MEDIA,0.0885
1112,endpoint,1,MEDIA,0.0899
1112,endpoint,1,MEDIA,0.0855
1112,endpoint,1,MEDIA,0.0858
1112,endpoint,2,MEDIA,0.0953
1112,endpoint,2,MEDIA,0.0898
1112,endpoint,2,MEDIA,0.0858
1112,endpoint,2,MEDIA,0.0876
1112,endpoint,2,MEDIA,0.0883
1112,endpoint,2,MEDIA,0.0897
1112,endpoint,2,MEDIA,0.0858
1112,endpoint,2,MEDIA,0.0863
1112,endpoint,3,MEDIA,0.0954
1112,endpoint,3,MEDIA,0.0897
1112,endpoint,3,MEDIA,0.0856
1112,endpoint,3,MEDIA,0.0877
1112,endpoint,3,MEDIA,0.0885
1112,endpoint,3,MEDIA,0.0896
1112,endpoint,3,MEDIA,0.0857
1112,endpoint,3,MEDIA,0.0857
1113,endpoint,1,MEDIA,0.1022
1113,endpoint,1,MEDIA,0.0948
1113,endpoint,1,MEDIA,0.094
1113,endpoint,1,MEDIA,0.0971
1113,endpoint,1,MEDIA,0.0939
1113,endpoint,1,MEDIA,0.0979
1113,endpoint,1,MEDIA,0.0944
1113,endpoint,1,MEDIA,0.0918
1113,endpoint,2,MEDIA,0.1022
1113,endpoint,2,MEDIA,0.0944
1113,endpoint,2,MEDIA,0.0937
1113,endpoint,2,MEDIA,0.0978
1113,endpoint,2,MEDIA,0.0942
1113,endpoint,2,MEDIA,0.0979
1113,endpoint,2,MEDIA,0.0945
1113,endpoint,2,MEDIA,0.092
1113,endpoint,3,MEDIA,0.1013
1113,endpoint,3,MEDIA,0.0944
1113,endpoint,3,MEDIA,0.0935
1113,endpoint,3,MEDIA,0.0984
1113,endpoint,3,MEDIA,0.0943
1113,endpoint,3,MEDIA,0.0977
1113,endpoint,3,MEDIA,0.0945
1113,endpoint,3,MEDIA,0.092
1114,endpoint,1,MEDIA,0.0963
1114,endpoint,1,MEDIA,0.0919
1114,endpoint,1,MEDIA,0.0911
1114,endpoint,1,MEDIA,0.0926
1114,endpoint,1,MEDIA,0.0951
1114,endpoint,1,MEDIA,0.0904
1114,endpoint,1,MEDIA,0.0899
1114,endpoint,1,MEDIA,0.0914
1114,endpoint,2,MEDIA,0.0973
1114,endpoint,2,MEDIA,0.0921
1114,endpoint,2,MEDIA,0.0912
1114,endpoint,2,MEDIA,0.0935
1114,endpoint,2,MEDIA,0.0962
1114,endpoint,2,MEDIA,0.0902
1114,endpoint,2,MEDIA,0.09
1114,endpoint,2,MEDIA,0.0916
1114,endpoint,3,MEDIA,0.0968
1114,endpoint,3,MEDIA,0.0917
1114,endpoint,3,MEDIA,0.0911
1114,endpoint,3,MEDIA,0.0928
1114,endpoint,3,MEDIA,0.0961
1114,endpoint,3,MEDIA,0.0903
1114,endpoint,3,MEDIA,0.0896
1114,endpoint,3,MEDIA,0.0912
1115,endpoint,1,MEDIA,0.0903
1115,endpoint,1,MEDIA,0.0877
1115,endpoint,1,MEDIA,0.0906
1115,endpoint,1,MEDIA,0.0914
1115,endpoint,1,MEDIA,0.0892
1115,endpoint,1,MEDIA,0.0898
