Date,Measurement,Attempt,MEDIA_1,CELL_1,CELL_2,CELL_3,CELL_4,MEDIA_2,BSA_BL1,BSA_1,BSA_2,BSA_3,BSA_4,BSA_BL2
1112,RAW,1,0.0942,0.5056,0.5118,0.5188,0.5054,0.0981,0.2138,0.4038,0.401,0.4178,0.4092,0.2277
1112,RAW,1,0.0898,0.4324,0.4307,0.4246,0.4519,0.0907,0.1982,0.3772,0.3838,0.3804,0.3725,0.2139
1112,RAW,1,0.0856,0.3602,0.3383,0.367,0.3531,0.0942,0.2059,0.3758,0.3719,0.3726,0.3652,0.2205
1112,RAW,1,0.0874,0.2795,0.2673,0.2717,0.271,0.0933,0.2144,0.3609,0.3513,0.3619,0.3629,0.2081
1112,RAW,1,0.0885,0.1868,0.1843,0.1865,0.179,0.0949,0.212,0.368,0.3327,0.3415,0.3439,0.2111
1112,RAW,1,0.0899,0.1397,0.1333,0.1359,0.1376,0.0934,0.1941,0.3248,0.32,0.3316,0.3185,0.2117
1112,RAW,1,0.0855,0.113,0.1075,0.1085,0.1057,0.0899,0.1947,0.2832,0.288,0.2817,0.2877,0.2116
1112,RAW,1,0.0858,0.1004,0.097,0.0944,0.0961,0.0869,0.2215,0.2537,0.2575,0.2535,0.272,0.2323
1112,RAW,2,0.0953,0.5238,0.5286,0.5256,0.5357,0.0981,0.2145,0.4022,0.4028,0.4147,0.4101,0.2283
1112,RAW,2,0.0898,0.4586,0.4692,0.4555,0.4831,0.0911,0.1982,0.3798,0.3831,0.3809,0.3719,0.2142
1112,RAW,2,0.0858,0.3923,0.3787,0.3912,0.3912,0.0945,0.2061,0.3758,0.3696,0.3678,0.366,0.2205
1112,RAW,2,0.0876,0.3011,0.2982,0.2903,0.281,0.0935,0.2145,0.3597,0.3497,0.3615,0.3613,0.2083
1112,RAW,2,0.0883,0.1994,0.1968,0.1979,0.1835,0.0952,0.2122,0.3675,0.3337,0.3413,0.3428,0.2112
1112,RAW,2,0.0897,0.1439,0.1388,0.1404,0.1418,0.0936,0.1946,0.3232,0.3182,0.3293,0.3178,0.2123
1112,RAW,2,0.0858,0.115,0.1112,0.1127,0.1094,0.0899,0.1942,0.284,0.2882,0.2815,0.2838,0.2119
1112,RAW,2,0.0863,0.1009,0.0984,0.0972,0.0979,0.0869,0.2215,0.2523,0.2563,0.2545,0.2717,0.2326
1112,RAW,3,0.0954,0.5273,0.5501,0.5134,0.5767,0.0985,0.2132,0.4011,0.3983,0.4124,0.4066,0.2276
1112,RAW,3,0.0897,0.5357,0.5632,0.4767,0.5241,0.0914,0.1985,0.3761,0.3774,0.3771,0.3708,0.2142
1112,RAW,3,0.0856,0.4247,0.4485,0.4245,0.4322,0.0949,0.2059,0.3737,0.3692,0.3684,0.3627,0.2208
1112,RAW,3,0.0877,0.3269,0.336,0.2991,0.2734,0.0937,0.2145,0.3586,0.3488,0.3586,0.3591,0.2078
1112,RAW,3,0.0885,0.2009,0.2036,0.2059,0.1812,0.0952,0.212,0.3595,0.334,0.3391,0.3419,0.211
1112,RAW,3,0.0896,0.1423,0.1437,0.1428,0.1463,0.0934,0.1947,0.3217,0.3192,0.3318,0.3206,0.2119
1112,RAW,3,0.0857,0.1141,0.114,0.116,0.1133,0.0899,0.1943,0.2827,0.2884,0.2811,0.2835,0.2123
1112,RAW,3,0.0857,0.1016,0.1014,0.0993,0.0968,0.0868,0.2216,0.2526,0.2566,0.2542,0.2712,0.2331
1113,RAW,1,0.1022,0.4656,0.4705,0.4463,0.4834,0.0967,0.2574,0.4019,0.362,0.3864,0.3976,0.2606
1113,RAW,1,0.0948,0.4244,0.4253,0.4291,0.4044,0.1015,0.2381,0.3963,0.389,0.3927,0.3774,0.2372
1113,RAW,1,0.094,0.3372,0.3321,0.3613,0.3404,0.0954,0.2457,0.373,0.3635,0.37,0.3686,0.2453
1113,RAW,1,0.0971,0.2719,0.2665,0.287,0.2571,0.0965,0.2425,0.3608,0.3559,0.3536,0.3505,0.2427
1113,RAW,1,0.0939,0.1853,0.1732,0.1712,0.178,0.0955,0.2449,0.3551,0.3346,0.3351,0.3385,0.2448
1113,RAW,1,0.0979,0.137,0.1298,0.1378,0.1372,0.095,0.2435,0.3231,0.3288,0.3207,0.3137,0.233
1113,RAW,1,0.0944,0.1106,0.1096,0.1123,0.1117,0.0929,0.244,0.3145,0.3077,0.3025,0.3029,0.2419
1113,RAW,1,0.0918,0.096,0.0948,0.0983,0.0953,0.0919,0.2395,0.2887,0.2872,0.2776,0.2764,0.2381
1113,RAW,2,0.1022,0.4883,0.43,0.4862,0.4957,0.0981,0.2574,0.3988,0.3603,0.3812,0.3977,0.2601
1113,RAW,2,0.0944,0.4683,0.4449,0.5003,0.3935,0.1026,0.2378,0.3976,0.3882,0.3888,0.3746,0.2351
1113,RAW,2,0.0937,0.3496,0.3183,0.3637,0.3516,0.0965,0.245,0.3704,0.3585,0.3672,0.3656,0.2455
1113,RAW,2,0.0978,0.3055,0.2848,0.311,0.2379,0.0959,0.242,0.3577,0.3542,0.3515,0.3484,0.242
1113,RAW,2,0.0942,0.2004,0.1836,0.2023,0.1817,0.0958,0.2445,0.3555,0.3314,0.3341,0.3369,0.2445
1113,RAW,2,0.0979,0.1503,0.1355,0.1434,0.1476,0.0952,0.2437,0.3198,0.3264,0.3188,0.3144,0.233
1113,RAW,2,0.0945,0.1135,0.1096,0.1163,0.1109,0.0929,0.244,0.315,0.3064,0.3008,0.3034,0.2417
1113,RAW,2,0.092,0.0964,0.0962,0.0981,0.0957,0.0918,0.2394,0.2869,0.2861,0.2781,0.2767,0.2378
1113,RAW,3,0.1013,0.4995,0.4076,0.4987,0.4839,0.0989,0.2579,0.4002,0.3586,0.3837,0.3948,0.26
1113,RAW,3,0.0944,0.5116,0.5142,0.4776,0.3754,0.1026,0.2376,0.3935,0.3856,0.3837,0.3713,0.2357
1113,RAW,3,0.0935,0.3271,0.3089,0.3465,0.3447,0.0965,0.2451,0.3704,0.3578,0.3668,0.3634,0.2454
1113,RAW,3,0.0984,0.313,0.286,0.305,0.2287,0.0956,0.2424,0.3576,0.3524,0.3523,0.3457,0.2423
1113,RAW,3,0.0943,0.2058,0.2011,0.2096,0.1784,0.0954,0.244,0.3518,0.3309,0.3355,0.3345,0.2448
1113,RAW,3,0.0977,0.1626,0.148,0.1455,0.1543,0.0949,0.2436,0.3198,0.3258,0.3182,0.3148,0.2331
1113,RAW,3,0.0945,0.1137,0.1084,0.1213,0.1102,0.0923,0.2437,0.3143,0.3074,0.3061,0.3021,0.2416
1113,RAW,3,0.092,0.0971,0.0966,0.0978,0.095,0.0916,0.2399,0.2869,0.2856,0.2768,0.2747,0.2379
1114,RAW,1,0.0963,0.5156,0.5208,0.519,0.5013,0.0988,0.2459,0.4002,0.3784,0.3849,0.3859,0.2471
1114,RAW,1,0.0919,0.444,0.4434,0.4452,0.428,0.0935,0.2404,0.3737,0.3743,0.3802,0.3963,0.2485
1114,RAW,1,0.0911,0.3731,0.3599,0.3782,0.3493,0.0984,0.2499,0.4009,0.4125,0.3974,0.3936,0.2479
1114,RAW,1,0.0926,0.2861,0.2587,0.2626,0.254,0.0962,0.2469,0.363,0.3579,0.3627,0.3763,0.2513
1114,RAW,1,0.0951,0.1857,0.1676,0.1832,0.1759,0.093,0.2502,0.357,0.3416,0.3511,0.3469,0.248
1114,RAW,1,0.0904,0.1349,0.1282,0.1373,0.1305,0.0933,0.2504,0.317,0.3107,0.3165,0.3006,0.2494
1114,RAW,1,0.0899,0.1085,0.1037,0.1095,0.1095,0.0901,0.2444,0.3439,0.3317,0.3554,0.3761,0.247
1114,RAW,1,0.0914,0.0926,0.0888,0.094,0.0959,0.0927,0.2556,0.2765,0.2753,0.2748,0.289,0.2544
1114,RAW,2,0.0973,0.5261,0.5369,0.5382,0.5216,0.1,0.2453,0.3998,0.3771,0.3839,0.3865,0.2472
1114,RAW,2,0.0921,0.4614,0.4683,0.4696,0.4338,0.0956,0.2399,0.3734,0.3714,0.3804,0.393,0.2485
