Date,Time,Temperature(¡C),MEDIA,CELL_1_1,CELL_1_2,CELL_1_3,CELL_1_4,MEDIA,BSA,BSA_09_1,BSA_09_2,BSA_09_3,BSA_09_4,BSA,MEDIA,CELL_08_1,CELL_08_2,CELL_08_3,CELL_08_4,MEDIA,BSA,BSA_08_1,BSA_08_2,BSA_08_3,BSA_08_4,BSA,MEDIA,CELL_06_1,CELL_06_2,CELL_06_3,CELL_06_4,MEDIA,BSA,BSA_07_1,BSA_07_2,BSA_07_3,BSA_07_4,BSA,MEDIA,CELL_04_1,CELL_04_2,CELL_04_3,CELL_04_4,MEDIA,BSA,BSA_06_1,BSA_06_2,BSA_06_3,BSA_06_4,BSA,MEDIA,CELL_02_1,CELL_02_2,CELL_02_3,CELL_02_4,MEDIA,BSA,BSA_05_1,BSA_05_2,BSA_05_3,BSA_05_4,BSA,MEDIA,CELL_01_1,CELL_01_2,CELL_01_3,CELL_01_4,MEDIA,BSA,BSA_04_1,BSA_04_2,BSA_04_3,BSA_04_4,BSA,MEDIA,CELL_005_1,CELL_005_2,CELL_005_3,CELL_005_4,MEDIA,BSA,BSA_03_1,BSA_03_2,BSA_03_3,BSA_03_4,BSA,MEDIA,CELL_0025_1,CELL_0025_2,CELL_0025_3,CELL_0025_4,MEDIA,BSA,BSA_02_1,BSA_02_2,BSA_02_3,BSA_02_4,BSA
1112,0,30,0.096,0.4713,0.4752,0.4874,0.4878,0.0965,0.2137,0.3725,0.3716,0.3666,0.3824,0.2282,0.0897,0.4264,0.4418,0.4164,0.4205,0.0904,0.1993,0.3493,0.3505,0.3525,0.3414,0.214,0.086,0.3715,0.3414,0.3523,0.3358,0.0941,0.2048,0.3471,0.3423,0.3447,0.3378,0.2198,0.0882,0.2751,0.2554,0.2773,0.2431,0.0933,0.215,0.3344,0.3274,0.3342,0.3344,0.208,0.0883,0.1829,0.1745,0.1814,0.1588,0.0941,0.2102,0.3326,0.314,0.3186,0.3165,0.2106,0.0893,0.1315,0.1279,0.1346,0.1285,0.0929,0.194,0.3043,0.3034,0.3115,0.3003,0.2116,0.0859,0.1084,0.1079,0.1081,0.1082,0.0899,0.1939,0.2704,0.2751,0.2684,0.2671,0.2119,0.0864,0.099,0.096,0.0944,0.0959,0.0922,0.2222,0.2464,0.251,0.2475,0.2644,0.2324
1112,0.5,30,0.0949,0.5859,0.5469,0.5085,0.6072,0.0949,0.2149,0.3707,0.3722,0.3685,0.3764,0.2309,0.0889,0.5117,0.497,0.5127,0.5711,0.0892,0.2005,0.3518,0.3474,0.3481,0.3425,0.2166,0.0858,0.4724,0.4301,0.3895,0.4484,0.0927,0.208,0.3451,0.3392,0.3484,0.3388,0.222,0.0876,0.3626,0.3341,0.3112,0.2793,0.0922,0.2178,0.3342,0.3215,0.3314,0.3408,0.211,0.0879,0.2522,0.2276,0.2349,0.2142,0.0927,0.2134,0.3301,0.3108,0.3154,0.3238,0.2139,0.0884,0.1615,0.1355,0.1663,0.1371,0.0912,0.1971,0.3074,0.3053,0.3112,0.2986,0.216,0.0855,0.1151,0.1204,0.1231,0.1164,0.0892,0.1955,0.2674,0.2735,0.2695,0.2709,0.2164,0.0867,0.1015,0.1035,0.0995,0.102,0.0899,0.2256,0.2441,0.2501,0.2492,0.266,0.2364
1112,1,30,0.0945,0.6239,0.6184,0.6099,0.6594,0.0943,0.2149,0.3653,0.3649,0.3651,0.3731,0.2304,0.0888,0.5521,0.5781,0.5561,0.6014,0.089,0.1996,0.3433,0.3466,0.348,0.3394,0.2157,0.0858,0.5204,0.4892,0.4702,0.4936,0.0928,0.2067,0.3425,0.3393,0.3385,0.3373,0.2212,0.0875,0.398,0.3753,0.3598,0.3281,0.0919,0.217,0.3334,0.3193,0.3344,0.3323,0.2103,0.0875,0.2698,0.2393,0.2468,0.2171,0.0926,0.2116,0.324,0.3049,0.3167,0.3049,0.2132,0.0878,0.1867,0.1418,0.1767,0.1532,0.0906,0.1961,0.3015,0.3002,0.3164,0.2998,0.2154,0.0852,0.1234,0.1262,0.1277,0.1171,0.0889,0.1945,0.2683,0.2742,0.2674,0.2677,0.215,0.0864,0.1063,0.1083,0.103,0.1026,0.0896,0.2245,0.2406,0.25,0.2481,0.2636,0.2353
1112,1.5,30,0.0944,0.6948,0.6793,0.6938,0.7398,0.0936,0.2129,0.3602,0.3601,0.3631,0.3756,0.2289,0.0884,0.6341,0.6661,0.6437,0.6898,0.0888,0.198,0.3392,0.3455,0.3447,0.3393,0.2147,0.0857,0.5998,0.5726,0.5574,0.5688,0.0925,0.2056,0.3442,0.34,0.3424,0.3311,0.2199,0.0874,0.4625,0.4477,0.4256,0.3827,0.0917,0.2151,0.3278,0.319,0.3294,0.3308,0.2087,0.0874,0.3041,0.2769,0.2693,0.2407,0.0922,0.2099,0.3249,0.3037,0.3186,0.3082,0.211,0.0879,0.2097,0.1616,0.1931,0.1758,0.0903,0.1947,0.3023,0.3034,0.3086,0.2954,0.2138,0.0852,0.1326,0.1457,0.1389,0.1241,0.0884,0.1934,0.2637,0.2701,0.2646,0.2668,0.2137,0.0864,0.114,0.1176,0.1083,0.1062,0.0892,0.223,0.2383,0.2469,0.2448,0.2611,0.2339
1112,2,30,0.0944,0.7699,0.7571,0.7607,0.8162,0.0937,0.2121,0.3534,0.3567,0.3602,0.3692,0.2275,0.0886,0.7104,0.7419,0.7243,0.7714,0.0888,0.1965,0.3343,0.3426,0.3443,0.3325,0.2133,0.0857,0.6782,0.6577,0.6387,0.6571,0.0921,0.2039,0.3397,0.3366,0.3314,0.3306,0.2188,0.0871,0.5382,0.5242,0.4969,0.4566,0.0913,0.2134,0.3255,0.3243,0.3228,0.3335,0.2074,0.0874,0.3605,0.3232,0.3155,0.2872,0.0921,0.2084,0.3232,0.3016,0.3114,0.3089,0.2101,0.0879,0.2352,0.1852,0.2188,0.202,0.0901,0.1934,0.291,0.3034,0.3056,0.2949,0.2125,0.0853,0.1478,0.1637,0.1531,0.1345,0.0884,0.1917,0.2587,0.2669,0.262,0.2647,0.2123,0.0862,0.123,0.1316,0.1151,0.1138,0.089,0.2216,0.239,0.2446,0.2429,0.2597,0.2323
1112,2.5,30,0.0945,0.8379,0.8237,0.8266,0.8819,0.0934,0.21,0.3607,0.3577,0.3561,0.3618,0.2262,0.0884,0.7915,0.8163,0.8079,0.8522,0.0886,0.1953,0.3334,0.3424,0.3401,0.3303,0.2122,0.0857,0.7534,0.7344,0.7116,0.7357,0.092,0.2027,0.3319,0.3286,0.33,0.324,0.2173,0.0871,0.6111,0.5989,0.5708,0.5311,0.0909,0.2122,0.3261,0.3121,0.3192,0.3224,0.2065,0.0872,0.4196,0.381,0.3725,0.3409,0.0921,0.207,0.3201,0.3008,0.3113,0.3057,0.209,0.0877,0.2691,0.2097,0.2507,0.2292,0.0897,0.1923,0.2946,0.2976,0.3053,0.2887,0.2113,0.085,0.1653,0.1835,0.1718,0.1487,0.0883,0.1903,0.2592,0.2674,0.2607,0.2621,0.2112,0.0863,0.1335,0.1475,0.1244,0.1226,0.0889,0.2205,0.2364,0.2445,0.241,0.2594,0.2308
1112,3,30,0.0942,0.8988,0.8826,0.9016,0.9246,0.0931,0.209,0.3612,0.3501,0.3477,0.363,0.2251,0.0884,0.8631,0.8853,0.8805,0.9158,0.0885,0.1939,0.3358,0.3393,0.3373,0.3323,0.211,0.0856,0.8336,0.8188,0.7881,0.822,0.0922,0.2014,0.3315,0.3272,0.3321,0.3161,0.2164,0.0871,0.6888,0.6759,0.6413,0.6069,0.0908,0.2109,0.3175,0.3074,0.3241,0.3203,0.2053,0.0871,0.4859,0.4496,0.4355,0.4014,0.0918,0.2059,0.3231,0.3031,0.3116,0.3006,0.2078,0.0876,0.3157,0.2422,0.2945,0.2665,0.0893,0.1909,0.2949,0.2921,0.3047,0.2837,0.2102,0.085,0.1848,0.2085,0.1935,0.1654,0.0881,0.1892,0.2555,0.2672,0.2646,0.261,0.21,0.0859,0.1469,0.1664,0.1366,0.1344,0.0887,0.2192,0.2344,0.2417,0.2408,0.258,0.2298
1112,3.5,30,0.0943,0.9544,0.9344,0.9566,0.9733,0.0936,0.2081,0.3622,0.3557,0.3526,0.3609,0.2242,0.0882,0.9175,0.9368,0.9363,0.9743,0.0886,0.1931,0.333,0.3464,0.333,0.3335,0.21,0.0856,0.8993,0.8816,0.8633,0.8948,0.0923,0.2005,0.3413,0.3232,0.335,0.3152,0.2154,0.0868,0.7646,0.7519,0.7234,0.6879,0.0904,0.2096,0.3179,0.3093,0.319,0.3187,0.2043,0.0869,0.559,0.5196,0.5028,0.4687,0.0916,0.2045,0.3142,0.3067,0.3098,0.2996,0.2071,0.0876,0.3691,0.2825,0.3459,0.3148,0.0893,0.1902,0.2925,0.288,0.3002,0.2851,0.2092,0.0849,0.2106,0.2385,0.2212,0.1871,0.0881,0.1882,0.2535,0.2627,0.2597,0.26,0.2089,0.0858,0.1632,0.187,0.1512,0.15,0.0887,0.2181,0.2351,0.2409,0.2395,0.2568,0.2284
1112,4,30,0.0948,0.9885,0.9694,0.9964,1.0026,0.0937,0.2071,0.3605,0.3512,0.3606,0.3635,0.2233,0.0885,0.9686,0.9825,0.9811,1.0202,0.0888,0.1917,0.3373,0.3517,0.3465,0.3362,0.2094,0.0856,0.9566,0.948,0.9221,0.961,0.092,0.1993,0.3248,0.3237,0.3329,0.3343,0.2145,0.0871,0.8332,0.8358,0.7869,0.765,0.0906,0.2087,0.3161,0.3199,0.3182,0.3212,0.2035,0.0868,0.6356,0.5952,0.5757,0.544,0.0918,0.2032,0.3278,0.2932,0.3011,0.2966,0.2063,0.0876,0.4282,0.332,0.4059,0.3688,0.0892,0.1889,0.2891,0.2955,0.2965,0.283,0.2083,0.085,0.2417,0.2783,0.2549,0.2153,0.0885,0.187,0.2537,0.2658,0.2577,0.2601,0.2082,0.0856,0.1847,0.2136,0.1708,0.1694,0.0886,0.2171,0.2335,0.2408,0.236,0.2544,0.2274
1112,4.5,30,0.0949,0.9913,0.9758,1.0035,1.0083,0.0931,0.2054,0.3557,0.3469,0.3826,0.3555,0.2223,0.0884,0.9968,1.0056,1.0007,1.0407,0.0888,0.1907,0.3476,0.3521,0.344,0.3372,0.2085,0.0859,1.0016,0.9997,0.973,1.0155,0.0918,0.1981,0.325,0.3201,0.3219,0.3145,0.2134,0.0871,0.8997,0.9062,0.856,0.8385,0.0906,0.2074,0.3123,0.3075,0.3179,0.3179,0.2024,0.0871,0.7098,0.6693,0.652,0.6169,0.0919,0.2021,0.3124,0.295,0.3076,0.3049,0.2052,0.0876,0.497,0.3918,0.4725,0.4339,0.0891,0.188,0.2838,0.2894,0.2986,0.2863,0.2073,0.085,0.28,0.327,0.2993,0.2502,0.0883,0.1857,0.2534,0.26,0.2572,0.2553,0.207,0.0853,0.2103,0.2493,0.1952,0.1939,0.0886,0.2158,0.2302,0.239,0.2366,0.2532,0.2261
