Sample,OD,OOD,Date
MEDIA,0,0,1112
CELL,1,1.191,1112
CELL,1,1.191,1112
CELL,1,1.191,1112
CELL,1,1.191,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.9,0.639,1112
BSA,0.9,0.639,1112
BSA,0.9,0.639,1112
BSA,0.9,0.639,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.8,1.041,1112
CELL,0.8,1.041,1112
CELL,0.8,1.041,1112
CELL,0.8,1.041,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.8,0.528,1112
BSA,0.8,0.528,1112
BSA,0.8,0.528,1112
BSA,0.8,0.528,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.6,0.831,1112
CELL,0.6,0.831,1112
CELL,0.6,0.831,1112
CELL,0.6,0.831,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.7,0.473,1112
BSA,0.7,0.473,1112
BSA,0.7,0.473,1112
BSA,0.7,0.473,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.4,0.589,1112
CELL,0.4,0.589,1112
CELL,0.4,0.589,1112
CELL,0.4,0.589,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.6,0.411,1112
BSA,0.6,0.411,1112
BSA,0.6,0.411,1112
BSA,0.6,0.411,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.2,0.294,1112
CELL,0.2,0.294,1112
CELL,0.2,0.294,1112
CELL,0.2,0.294,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.5,0.367,1112
BSA,0.5,0.367,1112
BSA,0.5,0.367,1112
BSA,0.5,0.367,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.1,0.145,1112
CELL,0.1,0.145,1112
CELL,0.1,0.145,1112
CELL,0.1,0.145,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.4,0.314,1112
BSA,0.4,0.314,1112
BSA,0.4,0.314,1112
BSA,0.4,0.314,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.05,0.068,1112
CELL,0.05,0.068,1112
CELL,0.05,0.068,1112
CELL,0.05,0.068,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.3,0.252,1112
BSA,0.3,0.252,1112
BSA,0.3,0.252,1112
BSA,0.3,0.252,1112
BSA,0,0,1112
MEDIA,0,0,1112
CELL,0.025,0.036,1112
CELL,0.025,0.036,1112
CELL,0.025,0.036,1112
CELL,0.025,0.036,1112
MEDIA,0,0,1112
BSA,0,0,1112
BSA,0.2,0.146,1112
BSA,0.2,0.146,1112
BSA,0.2,0.146,1112
BSA,0.2,0.146,1112
BSA,0,0,1112
MEDIA,0,0,1114
CELL,1,1.242,1114
CELL,1,1.242,1114
CELL,1,1.242,1114
CELL,1,1.242,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.9,0.483,1114
BSA,0.9,0.483,1114
BSA,0.9,0.483,1114
BSA,0.9,0.483,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.8,1.085,1114
CELL,0.8,1.085,1114
CELL,0.8,1.085,1114
CELL,0.8,1.085,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.8,0.478,1114
BSA,0.8,0.478,1114
BSA,0.8,0.478,1114
BSA,0.8,0.478,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.6,0.878,1114
CELL,0.6,0.878,1114
CELL,0.6,0.878,1114
CELL,0.6,0.878,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.7,0.451,1114
BSA,0.7,0.451,1114
BSA,0.7,0.451,1114
BSA,0.7,0.451,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.4,0.602,1114
CELL,0.4,0.602,1114
CELL,0.4,0.602,1114
CELL,0.4,0.602,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.6,0.425,1114
BSA,0.6,0.425,1114
BSA,0.6,0.425,1114
BSA,0.6,0.425,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.2,0.312,1114
CELL,0.2,0.312,1114
CELL,0.2,0.312,1114
CELL,0.2,0.312,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.5,0.337,1114
BSA,0.5,0.337,1114
BSA,0.5,0.337,1114
BSA,0.5,0.337,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.1,0.154,1114
CELL,0.1,0.154,1114
CELL,0.1,0.154,1114
CELL,0.1,0.154,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.4,0.248,1114
BSA,0.4,0.248,1114
BSA,0.4,0.248,1114
BSA,0.4,0.248,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.05,0.063,1114
CELL,0.05,0.063,1114
CELL,0.05,0.063,1114
CELL,0.05,0.063,1114
MEDIA,0,0,1114
BSA,0,0,1114
BSA,0.3,0.162,1114
BSA,0.3,0.162,1114
BSA,0.3,0.162,1114
BSA,0.3,0.162,1114
BSA,0,0,1114
MEDIA,0,0,1114
CELL,0.025,0.001,1114
CELL,0.025,0.001,1114
CELL,0.025,0.001,1114
CELL,0.025,0.001,1114
