date,sample,od,pr,sp,endpoint_1,endpoint_2,endpoint_3,endpoint_4,kinetic_1,kinetic_2,kinetic_3,kinetic_4,kinetic_31,kinetic_32,kinetic_33,kinetic_34,kinetic_51,kinetic_52,kinetic_53,kinetic_54,kinetic_101,kinetic_102,kinetic_103,kinetic_104
918,CELL,1,1.169,0.901,0.4765,0.498,0.4952,0.5144,0.4988,0.442,0.4442,0.4697,0.7378,0.7137,0.7212,0.6992,0.9513,0.9405,0.9469,0.9318,1.0101,1.0003,1.0008,1.0022
918,CELL,0.8,1.025,0.791,0.4143,0.4252,0.4188,0.4177,0.3744,0.3644,0.3737,0.4166,0.5907,0.6011,0.6231,0.6844,0.8459,0.8591,0.876,0.9226,0.9669,0.9732,0.988,1.013
918,CELL,0.6,0.9,0.694,0.3837,0.3544,0.3918,0.3613,0.4169,0.3094,0.34,0.314,0.607,0.52,0.5218,0.5432,0.8484,0.7872,0.776,0.8066,0.9856,0.949,0.9519,0.9606
918,CELL,0.4,0.709,0.552,0.3091,0.2901,0.3173,0.3034,0.2896,0.2525,0.2891,0.26,0.4638,0.4294,0.488,0.4146,0.7329,0.6951,0.7602,0.6749,0.9728,0.9424,0.9863,0.9297
918,CELL,0.2,0.445,0.343,0.226,0.2142,0.2211,0.2227,0.2013,0.1916,0.1984,0.1931,0.3109,0.327,0.2921,0.2941,0.5235,0.5629,0.5009,0.5129,0.9277,0.9596,0.9198,0.9272
918,CELL,0.1,0.306,0.24,0.1785,0.1704,0.1776,0.1705,0.1652,0.1655,0.1917,0.1574,0.2562,0.223,0.2561,0.205,0.4504,0.3904,0.4459,0.3528,0.962,0.9068,0.9294,0.879
918,CELL,0.05,0.151,0.118,0.1321,0.1314,0.1395,0.1342,0.1392,0.1262,0.1312,0.1358,0.1816,0.1698,0.1777,0.1779,0.2956,0.2769,0.2832,0.294,0.8943,0.887,0.8849,0.9009
918,CELL,0.025,0.079,0.065,0.1132,0.1103,0.1092,0.1127,0.1169,0.1081,0.1058,0.1151,0.144,0.1533,0.142,0.1389,0.226,0.245,0.2239,0.2118,0.8633,0.8999,0.8648,0.8068
919,CELL,1,1.078,0.835,0.4747,0.4762,0.4515,0.4435,0.4414,0.4911,0.4437,0.41,0.6995,0.7428,0.7218,0.7003,0.9274,0.9573,0.9438,0.9324,1.016,1.0352,1.025,1.026
919,CELL,0.8,0.9,0.685,0.349,0.3817,0.3346,0.3403,0.3388,0.3882,0.3328,0.3368,0.5515,0.626,0.546,0.5569,0.8079,0.8727,0.8052,0.8163,1.0012,1.0197,1.0072,1.0077
919,CELL,0.6,0.809,0.617,0.328,0.2855,0.3491,0.304,0.3263,0.2988,0.3547,0.2577,0.5134,0.5097,0.5356,0.5062,0.7546,0.7743,0.7912,0.7807,0.9773,1.0198,0.9875,1.0244
919,CELL,0.4,0.633,0.484,0.2672,0.2962,0.2791,0.2579,0.2488,0.2693,0.2962,0.2612,0.4438,0.4494,0.4937,0.4477,0.7004,0.708,0.7581,0.707,1.0013,0.9848,1.0245,1.0061
919,CELL,0.2,0.407,0.32,0.2206,0.2093,0.2103,0.1977,0.2343,0.209,0.2035,0.1936,0.381,0.3396,0.3067,0.3129,0.6264,0.576,0.5259,0.5419,1.0058,0.9916,0.9681,0.9736
919,CELL,0.1,0.267,0.205,0.1693,0.162,0.1612,0.1598,0.1551,0.1579,0.1784,0.169,0.2194,0.213,0.245,0.2388,0.3741,0.3586,0.4198,0.415,0.9206,0.918,0.9591,0.9642
919,CELL,0.05,0.154,0.114,0.1418,0.1353,0.1383,0.1348,0.1529,0.1482,0.1454,0.1504,0.2427,0.2048,0.1852,0.1994,0.4202,0.3512,0.3049,0.3359,1.0172,0.9511,0.9051,0.936
919,CELL,0.025,0.059,0.043,0.1049,0.107,0.1094,0.1064,0.1081,0.107,0.1175,0.1102,0.1406,0.1384,0.1505,0.1422,0.2152,0.2061,0.2389,0.2251,0.8442,0.836,0.8852,0.8584
920,CELL,1,1.159,0.834,0.4651,0.448,0.4338,0.4404,0.4289,0.492,0.4657,0.4937,0.6144,0.7091,0.6662,0.701,0.8479,0.9296,0.8966,0.9108,1.0049,1.0359,1.025,1.0354
920,CELL,0.8,0.949,0.702,0.3812,0.3615,0.3633,0.3602,0.3738,0.349,0.3911,0.3876,0.5375,0.5608,0.5963,0.5867,0.7802,0.8128,0.8464,0.8321,0.9997,1.0146,1.0393,1.0307
920,CELL,0.6,0.853,0.629,0.3464,0.3426,0.3446,0.3113,0.3297,0.3283,0.3683,0.313,0.5013,0.529,0.5438,0.4943,0.7445,0.785,0.7955,0.7505,0.9854,1.0097,1.0367,1.0077
920,CELL,0.4,0.613,0.454,0.2715,0.2678,0.2734,0.2545,0.2617,0.2562,0.2949,0.2997,0.4172,0.4118,0.4608,0.4697,0.6628,0.6574,0.7118,0.7249,1.0049,1.0001,1.0421,1.0362
920,CELL,0.2,0.383,0.294,0.1871,0.1954,0.1942,0.1933,0.1865,0.2041,0.1864,0.2029,0.2529,0.265,0.2339,0.3013,0.4285,0.452,0.3879,0.5174,0.9565,0.9647,0.9232,1.0031
920,CELL,0.1,0.233,0.184,0.1574,0.1442,0.1559,0.1519,0.1647,0.1403,0.1559,0.1451,0.2216,0.193,0.1919,0.1682,0.3657,0.3148,0.3052,0.2595,0.9728,0.9382,0.9031,0.8509
920,CELL,0.05,0.129,0.097,0.1269,0.125,0.1223,0.1215,0.1359,0.1321,0.1307,0.1335,0.1654,0.1479,0.1709,0.1723,0.2488,0.2221,0.2621,0.2673,0.8366,0.8138,0.8715,0.8753
920,CELL,0.025,0.069,0.054,0.1105,0.1094,0.1065,0.113,0.1214,0.1166,0.1183,0.1187,0.1522,0.1466,0.1477,0.1511,0.2314,0.2222,0.2266,0.2334,0.8533,0.8438,0.8492,0.8663
918,BSA,0.9,0.658,0.607,0.393,0.3896,0.3922,0.3871,0.3923,0.3818,0.3855,0.3796,0.3618,0.3513,0.3589,0.3537,0.3453,0.3466,0.3514,0.345,0.3327,0.3405,0.3796,0.3174
918,BSA,0.8,0.626,0.59,0.3662,0.3783,0.3824,0.3709,0.3594,0.3683,0.3705,0.359,0.3377,0.3421,0.3582,0.3415,0.3216,0.336,0.3605,0.3228,0.2848,0.3054,0.3378,0.2882
918,BSA,0.7,0.548,0.504,0.3437,0.3517,0.3512,0.3464,0.3355,0.3366,0.3423,0.3344,0.3243,0.3209,0.3233,0.3205,0.3098,0.3046,0.3151,0.3121,0.2907,0.3102,0.3229,0.2937
918,BSA,0.6,0.494,0.459,0.3434,0.3388,0.338,0.3304,0.3346,0.3275,0.329,0.3222,0.3216,0.3113,0.3114,0.3112,0.3102,0.3144,0.3141,0.3019,0.3214,0.3015,0.3315,0.293
918,BSA,0.5,0.418,0.385,0.3202,0.3213,0.3196,0.3122,0.3123,0.3124,0.3099,0.3022,0.3037,0.3013,0.3036,0.2936,0.3002,0.2959,0.2909,0.2907,0.2917,0.2979,0.2866,0.2888
918,BSA,0.4,0.348,0.329,0.3039,0.3028,0.3129,0.3037,0.2976,0.2962,0.3041,0.2951,0.2897,0.2905,0.2976,0.2864,0.2902,0.2814,0.2923,0.2859,0.2727,0.2808,0.2775,0.282
918,BSA,0.3,0.246,0.23,0.2802,0.272,0.2758,0.2722,0.2744,0.2674,0.2688,0.2658,0.2676,0.2632,0.266,0.2643,0.262,0.2604,0.2612,0.2572,0.2519,0.2497,0.2467,0.2498
918,BSA,0.2,0.177,0.163,0.2549,0.2558,0.2518,0.2578,0.2522,0.2506,0.2487,0.2501,0.2491,0.2486,0.247,0.2499,0.2454,0.2432,0.2423,0.2445,0.2342,0.235,0.2305,0.2394
919,BSA,0.9,0.72,0.684,0.3913,0.3889,0.3975,0.3986,0.3855,0.3827,0.3865,0.3905,0.3506,0.3537,0.3631,0.3605,0.3419,0.3288,0.3219,0.3591,0.2677,0.451,0.2812,0.3766
919,BSA,0.8,0.669,0.614,0.3881,0.3861,0.3837,0.3753,0.3803,0.376,0.3701,0.3667,0.3603,0.3548,0.3514,0.3432,0.3403,0.3526,0.337,0.36,0.3396,0.3795,0.3099,0.3556
919,BSA,0.7,0.602,0.552,0.35,0.352,0.3562,0.3551,0.346,0.3437,0.3473,0.3454,0.3254,0.326,0.3258,0.331,0.3096,0.3168,0.3217,0.3323,0.3203,0.2954,0.3399,0.2711
919,BSA,0.6,0.513,0.465,0.3314,0.3307,0.3298,0.3333,0.3302,0.321,0.3229,0.3283,0.3206,0.3073,0.3137,0.3125,0.348,0.3052,0.302,0.3072,0.273,0.3091,0.283,0.2923
919,BSA,0.5,0.438,0.387,0.3197,0.3126,0.3101,0.3144,0.3133,0.3068,0.3063,0.3091,0.3005,0.2932,0.297,0.2983,0.2959,0.294,0.2868,0.2877,0.3112,0.3086,0.259,0.2798
919,BSA,0.4,0.357,0.305,0.2971,0.2893,0.2918,0.2947,0.2949,0.2839,0.2879,0.291,0.2749,0.2703,0.2822,0.2787,0.2694,0.2687,0.2758,0.2755,0.2481,0.2674,0.2734,0.2717
919,BSA,0.3,0.28,0.244,0.278,0.2757,0.2763,0.2779,0.2758,0.2725,0.2715,0.2729,0.2678,0.2658,0.2681,0.2648,0.2611,0.2592,0.2612,0.2593,0.2536,0.2475,0.2528,0.2525
919,BSA,0.2,0.191,0.152,0.2526,0.2533,0.2485,0.2545,0.2515,0.2516,0.2463,0.252,0.2419,0.2483,0.2423,0.2497,0.2361,0.2449,0.2385,0.2445,0.2283,0.2355,0.2301,0.2362
920,BSA,0.9,0.647,0.61,0.3791,0.3902,0.4003,0.3924,0.3743,0.3806,0.3899,0.3849,0.3554,0.3534,0.3413,0.3607,0.3368,0.3518,0.3381,0.3424,0.3149,0.4153,0.305,0.3259
