Sample,OD,OOD,Date
MEDIA,0,0,918
CELL,1,1.169,918
CELL,1,1.169,918
CELL,1,1.169,918
CELL,1,1.169,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.9,0.658,918
BSA,0.9,0.658,918
BSA,0.9,0.658,918
BSA,0.9,0.658,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.8,1.025,918
CELL,0.8,1.025,918
CELL,0.8,1.025,918
CELL,0.8,1.025,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.8,0.626,918
BSA,0.8,0.626,918
BSA,0.8,0.626,918
BSA,0.8,0.626,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.6,0.9,918
CELL,0.6,0.9,918
CELL,0.6,0.9,918
CELL,0.6,0.9,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.7,0.548,918
BSA,0.7,0.548,918
BSA,0.7,0.548,918
BSA,0.7,0.548,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.4,0.709,918
CELL,0.4,0.709,918
CELL,0.4,0.709,918
CELL,0.4,0.709,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.6,0.494,918
BSA,0.6,0.494,918
BSA,0.6,0.494,918
BSA,0.6,0.494,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.2,0.445,918
CELL,0.2,0.445,918
CELL,0.2,0.445,918
CELL,0.2,0.445,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.5,0.418,918
BSA,0.5,0.418,918
BSA,0.5,0.418,918
BSA,0.5,0.418,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.1,0.306,918
CELL,0.1,0.306,918
CELL,0.1,0.306,918
CELL,0.1,0.306,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.4,0.348,918
BSA,0.4,0.348,918
BSA,0.4,0.348,918
BSA,0.4,0.348,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.05,0.151,918
CELL,0.05,0.151,918
CELL,0.05,0.151,918
CELL,0.05,0.151,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.3,0.246,918
BSA,0.3,0.246,918
BSA,0.3,0.246,918
BSA,0.3,0.246,918
BSA,0,0,918
MEDIA,0,0,918
CELL,0.025,0.079,918
CELL,0.025,0.079,918
CELL,0.025,0.079,918
CELL,0.025,0.079,918
MEDIA,0,0,918
BSA,0,0,918
BSA,0.2,0.177,918
BSA,0.2,0.177,918
BSA,0.2,0.177,918
BSA,0.2,0.177,918
BSA,0,0,918
MEDIA,0,0,919
CELL,1,1.078,919
CELL,1,1.078,919
CELL,1,1.078,919
CELL,1,1.078,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.9,0.72,919
BSA,0.9,0.72,919
BSA,0.9,0.72,919
BSA,0.9,0.72,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.8,0.905,919
CELL,0.8,0.905,919
CELL,0.8,0.905,919
CELL,0.8,0.905,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.8,0.669,919
BSA,0.8,0.669,919
BSA,0.8,0.669,919
BSA,0.8,0.669,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.6,0.809,919
CELL,0.6,0.809,919
CELL,0.6,0.809,919
CELL,0.6,0.809,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.7,0.602,919
BSA,0.7,0.602,919
BSA,0.7,0.602,919
BSA,0.7,0.602,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.4,0.633,919
CELL,0.4,0.633,919
CELL,0.4,0.633,919
CELL,0.4,0.633,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.6,0.513,919
BSA,0.6,0.513,919
BSA,0.6,0.513,919
BSA,0.6,0.513,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.2,0.407,919
CELL,0.2,0.407,919
CELL,0.2,0.407,919
CELL,0.2,0.407,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.5,0.438,919
BSA,0.5,0.438,919
BSA,0.5,0.438,919
BSA,0.5,0.438,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.1,0.267,919
CELL,0.1,0.267,919
CELL,0.1,0.267,919
CELL,0.1,0.267,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.4,0.357,919
BSA,0.4,0.357,919
BSA,0.4,0.357,919
BSA,0.4,0.357,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.05,0.154,919
CELL,0.05,0.154,919
CELL,0.05,0.154,919
CELL,0.05,0.154,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.3,0.28,919
BSA,0.3,0.28,919
BSA,0.3,0.28,919
BSA,0.3,0.28,919
BSA,0,0,919
MEDIA,0,0,919
CELL,0.025,0.059,919
CELL,0.025,0.059,919
CELL,0.025,0.059,919
CELL,0.025,0.059,919
MEDIA,0,0,919
BSA,0,0,919
BSA,0.2,0.191,919
BSA,0.2,0.191,919
BSA,0.2,0.191,919
BSA,0.2,0.191,919
BSA,0,0,919
MEDIA,0,0,920
CELL,1,1.159,920
CELL,1,1.159,920
CELL,1,1.159,920
CELL,1,1.159,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.9,0.647,920
BSA,0.9,0.647,920
BSA,0.9,0.647,920
BSA,0.9,0.647,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.8,0.949,920
CELL,0.8,0.949,920
CELL,0.8,0.949,920
CELL,0.8,0.949,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.8,0.6,920
BSA,0.8,0.6,920
BSA,0.8,0.6,920
BSA,0.8,0.6,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.6,0.853,920
CELL,0.6,0.853,920
CELL,0.6,0.853,920
CELL,0.6,0.853,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.7,0.536,920
BSA,0.7,0.536,920
BSA,0.7,0.536,920
BSA,0.7,0.536,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.4,0.613,920
CELL,0.4,0.613,920
CELL,0.4,0.613,920
CELL,0.4,0.613,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.6,0.469,920
BSA,0.6,0.469,920
BSA,0.6,0.469,920
BSA,0.6,0.469,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.2,0.383,920
CELL,0.2,0.383,920
CELL,0.2,0.383,920
CELL,0.2,0.383,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.5,0.41,920
BSA,0.5,0.41,920
BSA,0.5,0.41,920
BSA,0.5,0.41,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.1,0.233,920
CELL,0.1,0.233,920
CELL,0.1,0.233,920
CELL,0.1,0.233,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.4,0.319,920
BSA,0.4,0.319,920
BSA,0.4,0.319,920
BSA,0.4,0.319,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.05,0.129,920
CELL,0.05,0.129,920
CELL,0.05,0.129,920
CELL,0.05,0.129,920
MEDIA,0,0,920
BSA,0,0,920
BSA,0.3,0.218,920
BSA,0.3,0.218,920
BSA,0.3,0.218,920
BSA,0.3,0.218,920
BSA,0,0,920
MEDIA,0,0,920
CELL,0.025,0.069,920
CELL,0.025,0.069,920
CELL,0.025,0.069,920
CELL,0.025,0.069,920
MEDIA,0,0,920
