Date,Sample,EP,Kin,,,,
918,MEDIA,0.0976,0.0976,,,,
918,MEDIA,0.0951,0.1011,,,,
918,MEDIA,0.0942,0.0951,,,,
918,MEDIA,0.0951,0.096,,,,
918,MEDIA,0.0934,0.094,,,,
918,MEDIA,0.093,0.0982,,,,
918,MEDIA,0.0903,0.0945,,,,
918,MEDIA,0.0924,0.0955,,,,
918,MEDIA,0.1019,0.092,,,,
918,MEDIA,0.0966,0.0955,,,,
918,MEDIA,0.0977,0.0921,,,,
918,MEDIA,0.0961,0.0939,,,,
918,MEDIA,0.0933,0.0901,,,,
918,MEDIA,0.095,0.0929,,,,
918,MEDIA,0.0925,0.0917,,,,
918,MEDIA,0.0952,0.0943,,,,
918,DYE,0.2188,0.2208,,,,
918,DYE,0.2176,0.2342,,,,
918,DYE,0.2242,0.2172,,,,
918,DYE,0.2258,0.2288,,,,
918,DYE,0.2172,0.2235,,,,
918,DYE,0.22,0.2309,,,,
918,DYE,0.2138,0.2261,,,,
918,DYE,0.2288,0.2308,,,,
918,DYE,0.2334,0.2178,,,,
918,DYE,0.2287,0.229,,,,
918,DYE,0.2304,0.2208,,,,
918,DYE,0.2312,0.2291,,,,
918,DYE,0.2292,0.214,,,,
918,DYE,0.23,0.2268,,,,
918,DYE,0.2272,0.2285,,,,
918,DYE,0.2241,0.2238,,,,
919,MEDIA,0.0918,0.0918,,,,
919,MEDIA,0.091,0.1011,,,,
919,MEDIA,0.0942,0.091,,,,
919,MEDIA,0.0947,0.0964,,,,
919,MEDIA,0.0928,0.0943,,,,
919,MEDIA,0.0924,0.0979,,,,
919,MEDIA,0.0941,0.0947,,,,
919,MEDIA,0.0979,0.0973,,,,
919,MEDIA,0.1025,0.0932,,,,
919,MEDIA,0.0978,0.0981,,,,
919,MEDIA,0.099,0.0923,,,,
919,MEDIA,0.0983,0.094,,,,
919,MEDIA,0.0995,0.0938,,,,
919,MEDIA,0.0953,0.0894,,,,
919,MEDIA,0.0893,0.0971,,,,
919,MEDIA,0.0892,0.0894,,,,
919,DYE,0.2264,0.228,,,,
919,DYE,0.2299,0.2333,,,,
919,DYE,0.2288,0.2293,,,,
919,DYE,0.2285,0.2333,,,,
919,DYE,0.2303,0.2276,,,,
919,DYE,0.228,0.2254,,,,
919,DYE,0.23,0.2287,,,,
919,DYE,0.2267,0.2287,,,,
919,DYE,0.2333,0.2288,,,,
919,DYE,0.2334,0.2258,,,,
919,DYE,0.2258,0.2282,,,,
919,DYE,0.229,0.224,,,,
919,DYE,0.2262,0.2286,,,,
919,DYE,0.2244,0.2303,,,,
919,DYE,0.2309,0.2262,,,,
919,DYE,0.2326,0.2315,,,,
920,MEDIA,0.1011,0.1021,,,,
920,MEDIA,0.1008,0.1011,,,,
920,MEDIA,0.097,0.1005,,,,
920,MEDIA,0.0975,0.1049,,,,
920,MEDIA,0.0925,0.0965,,,,
920,MEDIA,0.0894,0.0969,,,,
920,MEDIA,0.095,0.0976,,,,
920,MEDIA,0.0943,0.099,,,,
920,MEDIA,0.1032,0.0926,,,,
920,MEDIA,0.1269,0.1318,,,,
920,MEDIA,0.0974,0.0893,,,,
920,MEDIA,0.098,0.0969,,,,
920,MEDIA,0.1382,0.0943,,,,
920,MEDIA,0.0979,0.097,,,,
920,MEDIA,0.0983,0.094,,,,
920,MEDIA,0.0911,0.0908,,,,
920,DYE,0.237,0.2378,,,,
920,DYE,0.2254,0.2301,,,,
920,DYE,0.2249,0.2248,,,,
920,DYE,0.2284,0.2241,,,,
920,DYE,0.2221,0.2242,,,,
920,DYE,0.2356,0.2285,,,,
920,DYE,0.2254,0.2277,,,,
920,DYE,0.233,0.2262,,,,
920,DYE,0.2309,0.2206,,,,
920,DYE,0.224,0.2308,,,,
920,DYE,0.229,0.2343,,,,
920,DYE,0.227,0.2309,,,,
920,DYE,0.2319,0.2248,,,,
920,DYE,0.2321,0.227,,,,
920,DYE,0.2278,0.2327,,,,
920,DYE,0.2277,0.2271,,,,
