Date,Time,Temp,MEDIA,CELL_1_1,CELL_1_2,CELL_1_3,CELL_1_4,MEDIA,BSA,BSA_09_1,BSA_09_2,BSA_09_3,BSA_09_4,BSA,MEDIA,CELL_08_1,CELL_08_2,CELL_08_3,CELL_08_4,MEDIA,BSA,BSA_08_1,BSA_08_2,BSA_08_3,BSA_08_4,BSA,MEDIA,CELL_06_1,CELL_06_2,CELL_06_3,CELL_06_4,MEDIA,BSA,BSA_07_1,BSA_07_2,BSA_07_3,BSA_07_4,BSA,MEDIA,CELL_04_1,CELL_04_2,CELL_04_3,CELL_04_4,MEDIA,BSA,BSA_06_1,BSA_06_2,BSA_06_3,BSA_06_4,BSA,MEDIA,CELL_02_1,CELL_02_2,CELL_02_3,CELL_02_4,MEDIA,BSA,BSA_05_1,BSA_05_2,BSA_05_3,BSA_05_4,BSA,MEDIA,CELL_01_1,CELL_01_2,CELL_01_3,CELL_01_4,MEDIA,BSA,BSA_04_1,BSA_04_2,BSA_04_3,BSA_04_4,BSA,MEDIA,CELL_005_1,CELL_005_2,CELL_005_3,CELL_005_4,MEDIA,BSA,BSA_03_1,BSA_03_2,BSA_03_3,BSA_03_4,BSA,MEDIA,CELL_0025_1,CELL_0025_2,CELL_0025_3,CELL_0025_4,MEDIA,BSA,BSA_02_1,BSA_02_2,BSA_02_3,BSA_02_4,BSA
918,0,28.1,0.0976,0.4988,0.442,0.4442,0.4697,0.1011,0.2208,0.3923,0.3818,0.3855,0.3796,0.2342,0.0951,0.3744,0.3644,0.3737,0.4166,0.096,0.2172,0.3594,0.3683,0.3705,0.359,0.2288,0.094,0.4169,0.3094,0.34,0.314,0.0982,0.2235,0.3355,0.3366,0.3423,0.3344,0.2309,0.0945,0.2896,0.2525,0.2891,0.26,0.0955,0.2261,0.3346,0.3275,0.329,0.3222,0.2308,0.092,0.2013,0.1916,0.1984,0.1931,0.0955,0.2178,0.3123,0.3124,0.3099,0.3022,0.229,0.0921,0.1652,0.1655,0.1917,0.1574,0.0939,0.2208,0.2976,0.2962,0.3041,0.2951,0.2291,0.0901,0.1392,0.1262,0.1312,0.1358,0.0929,0.214,0.2744,0.2674,0.2688,0.2658,0.2268,0.0917,0.1169,0.1081,0.1058,0.1151,0.0943,0.2285,0.2522,0.2506,0.2487,0.2501,0.2238
918,1,30,0.0962,0.5043,0.4719,0.4864,0.4725,0.0974,0.2265,0.3822,0.3728,0.3758,0.3685,0.2436,0.0951,0.3811,0.3871,0.4018,0.4395,0.0943,0.2256,0.35,0.3597,0.3652,0.3537,0.2422,0.0943,0.3929,0.334,0.3451,0.3517,0.0948,0.2318,0.334,0.3322,0.3359,0.3313,0.2392,0.0943,0.2975,0.2755,0.3226,0.2658,0.0937,0.2341,0.3339,0.3277,0.3225,0.3179,0.2409,0.0915,0.2271,0.2395,0.2241,0.2152,0.0919,0.228,0.3135,0.3136,0.3079,0.3057,0.2393,0.0916,0.1918,0.1784,0.1929,0.1554,0.0922,0.2299,0.3004,0.2981,0.3096,0.2948,0.2397,0.0898,0.1437,0.1306,0.1352,0.1411,0.0912,0.222,0.2763,0.2687,0.2709,0.2688,0.2366,0.0912,0.12,0.1193,0.1153,0.1187,0.0928,0.2373,0.2554,0.2544,0.2516,0.254,0.2346
918,2,30,0.0958,0.619,0.5882,0.5984,0.5737,0.0973,0.2257,0.3743,0.3635,0.3665,0.3564,0.2426,0.0949,0.4746,0.4829,0.5036,0.5608,0.0945,0.2244,0.3387,0.3491,0.3594,0.3442,0.2366,0.0942,0.4925,0.409,0.4199,0.4294,0.0956,0.2296,0.3294,0.3288,0.3307,0.3289,0.2377,0.0936,0.3609,0.3344,0.3907,0.3235,0.0936,0.232,0.3242,0.3217,0.3178,0.3157,0.2392,0.0914,0.2431,0.2566,0.2321,0.2336,0.0915,0.2263,0.306,0.3059,0.3022,0.2987,0.2375,0.0912,0.2079,0.1854,0.2095,0.1722,0.0916,0.228,0.2963,0.2949,0.3019,0.2902,0.2381,0.0898,0.1537,0.1449,0.1505,0.1527,0.0908,0.2202,0.2698,0.266,0.2677,0.2657,0.2348,0.091,0.1269,0.1309,0.1232,0.1239,0.0919,0.2356,0.2526,0.2509,0.2492,0.2512,0.2329
918,3,30,0.0962,0.7378,0.7137,0.7212,0.6992,0.0963,0.2241,0.3618,0.3513,0.3589,0.3537,0.2407,0.0943,0.5907,0.6011,0.6231,0.6844,0.0944,0.2228,0.3377,0.3421,0.3582,0.3415,0.2353,0.0941,0.607,0.52,0.5218,0.5432,0.095,0.2276,0.3243,0.3209,0.3233,0.3205,0.2361,0.0933,0.4638,0.4294,0.488,0.4146,0.0951,0.2304,0.3216,0.3113,0.3114,0.3112,0.238,0.0913,0.3109,0.327,0.2921,0.2941,0.0924,0.2244,0.3037,0.3013,0.3036,0.2936,0.2359,0.0907,0.2562,0.223,0.2561,0.205,0.0927,0.2261,0.2897,0.2905,0.2976,0.2864,0.2364,0.0896,0.1816,0.1698,0.1777,0.1779,0.0911,0.2184,0.2676,0.2632,0.266,0.2643,0.2331,0.0908,0.144,0.1533,0.142,0.1389,0.0915,0.2336,0.2491,0.2486,0.247,0.2499,0.2312
918,4,30,0.096,0.8585,0.844,0.8492,0.8304,0.0966,0.2229,0.3612,0.3566,0.3501,0.3452,0.2401,0.0937,0.7251,0.7347,0.7574,0.8158,0.0944,0.2214,0.3364,0.3389,0.3461,0.3261,0.2341,0.094,0.7284,0.6528,0.6469,0.6742,0.0949,0.226,0.3116,0.3181,0.319,0.3144,0.235,0.0925,0.5912,0.5522,0.6163,0.534,0.093,0.2288,0.3173,0.3079,0.3155,0.3089,0.2368,0.0914,0.4009,0.431,0.3831,0.3883,0.0916,0.2229,0.2935,0.3009,0.2981,0.2914,0.2346,0.0907,0.3397,0.2901,0.3339,0.2632,0.0914,0.225,0.295,0.2836,0.2933,0.2888,0.2349,0.0896,0.2222,0.2109,0.2201,0.2221,0.0907,0.2171,0.2649,0.2623,0.2646,0.26,0.232,0.0903,0.1756,0.1899,0.175,0.1663,0.0913,0.2321,0.2464,0.2465,0.2447,0.2476,0.2303
918,5,30,0.0962,0.9513,0.9405,0.9469,0.9318,0.0974,0.2211,0.3453,0.3466,0.3514,0.345,0.2389,0.0945,0.8459,0.8591,0.876,0.9226,0.0949,0.2201,0.3216,0.336,0.3605,0.3228,0.2326,0.0938,0.8484,0.7872,0.776,0.8066,0.0966,0.2248,0.3098,0.3046,0.3151,0.3121,0.2339,0.0929,0.7329,0.6951,0.7602,0.6749,0.0942,0.2269,0.3102,0.3144,0.3141,0.3019,0.2354,0.0913,0.5235,0.5629,0.5009,0.5129,0.0922,0.222,0.3002,0.2959,0.2909,0.2907,0.2335,0.0907,0.4504,0.3904,0.4459,0.3528,0.0912,0.2233,0.2902,0.2814,0.2923,0.2859,0.2334,0.0894,0.2956,0.2769,0.2832,0.294,0.091,0.2156,0.262,0.2604,0.2612,0.2572,0.2302,0.0904,0.226,0.245,0.2239,0.2118,0.0909,0.23,0.2454,0.2432,0.2423,0.2445,0.2286
918,6,30,0.0965,0.9971,0.986,0.9971,0.9804,0.0953,0.2199,0.3509,0.3731,0.346,0.3423,0.2372,0.0938,0.9265,0.9369,0.9518,0.9829,0.094,0.2187,0.3157,0.3275,0.331,0.303,0.2313,0.0934,0.9328,0.8872,0.8799,0.9062,0.0947,0.2231,0.2975,0.3163,0.3147,0.3288,0.2323,0.0926,0.8571,0.8204,0.8806,0.8053,0.0949,0.2252,0.3066,0.2997,0.3016,0.3026,0.2338,0.0913,0.66,0.7061,0.6394,0.6547,0.0917,0.2204,0.2896,0.2958,0.2906,0.2936,0.2316,0.0904,0.586,0.5213,0.5747,0.471,0.0914,0.2218,0.2833,0.2816,0.2889,0.2848,0.2317,0.0891,0.3982,0.3759,0.3824,0.4001,0.0906,0.2142,0.2581,0.2572,0.2568,0.2559,0.2287,0.0901,0.3006,0.3334,0.303,0.2817,0.0904,0.2282,0.2423,0.2428,0.2381,0.2432,0.2271
918,7,30,0.0968,1.0087,0.9943,1.0036,0.9903,0.0958,0.2185,0.3414,0.3436,0.3331,0.3477,0.2357,0.0934,0.9559,0.9606,0.9767,1.0017,0.0943,0.2177,0.3065,0.3327,0.3356,0.3402,0.2301,0.0938,0.974,0.936,0.9328,0.9469,0.0948,0.2215,0.3257,0.3104,0.322,0.3069,0.2311,0.0923,0.9365,0.9038,0.9541,0.8933,0.0943,0.2239,0.3133,0.2946,0.3005,0.2891,0.2327,0.0913,0.785,0.8337,0.7752,0.791,0.0918,0.219,0.2929,0.2975,0.2866,0.2864,0.2307,0.0902,0.7335,0.6637,0.7126,0.6188,0.0913,0.2205,0.2836,0.2709,0.2902,0.2815,0.2309,0.0892,0.522,0.5031,0.5108,0.5368,0.0906,0.2128,0.2563,0.2547,0.256,0.2549,0.2276,0.09,0.4121,0.4567,0.4193,0.3828,0.09,0.2267,0.2411,0.2393,0.238,0.2421,0.226
918,8,30,0.0967,1.0074,0.9947,1.0014,0.9941,0.0964,0.2176,0.3298,0.346,0.3528,0.3496,0.2348,0.094,0.9587,0.9623,0.9781,1.0043,0.0938,0.216,0.3163,0.395,0.3314,0.3721,0.2288,0.0938,0.9778,0.9488,0.9421,0.9524,0.0954,0.2198,0.3088,0.3018,0.3186,0.3108,0.2299,0.0924,0.9681,0.9338,0.9797,0.9221,0.0933,0.2229,0.3111,0.3049,0.3024,0.3132,0.2312,0.0912,0.8736,0.9187,0.872,0.8823,0.0927,0.218,0.296,0.2896,0.2922,0.2825,0.2297,0.0905,0.8621,0.7908,0.8286,0.7574,0.0906,0.2194,0.2764,0.282,0.2908,0.2812,0.2295,0.0892,0.6673,0.6534,0.6528,0.6864,0.091,0.2112,0.2569,0.2522,0.2527,0.254,0.2265,0.0899,0.5541,0.6052,0.5616,0.5141,0.0898,0.2251,0.2398,0.2372,0.2369,0.2381,0.2249
918,9,30,0.0965,1.0076,0.9955,1.0011,0.9984,0.0964,0.222,0.3617,0.366,0.3603,0.3758,0.2335,0.0936,0.9624,0.9667,0.9834,1.0095,0.0944,0.2152,0.3518,0.3268,0.3348,0.3493,0.2274,0.0935,0.981,0.9479,0.9471,0.956,0.0953,0.218,0.2944,0.2985,0.3379,0.3272,0.2285,0.092,0.9721,0.9363,0.9817,0.9245,0.0928,0.2206,0.3318,0.2991,0.3123,0.2854,0.2298,0.0907,0.9155,0.956,0.9114,0.9183,0.0915,0.216,0.3028,0.301,0.2991,0.2846,0.2282,0.0899,0.9416,0.8772,0.9084,0.848,0.0906,0.2172,0.2831,0.2801,0.2855,0.2819,0.2279,0.0886,0.7997,0.7895,0.7889,0.8138,0.0911,0.2097,0.252,0.2561,0.2553,0.2554,0.2248,0.0895,0.7164,0.7583,0.7165,0.6622,0.0896,0.2232,0.2376,0.2352,0.2321,0.2378,0.2232
